gender,age,Asian,Black,Mixed,White,Other
Female,18-19,"83,451","40,597","34,086","569,752","17,281"
Female,20-24,"222,885","94,153","80,983","1,573,543","45,841"
Female,25-29,"228,133","93,727","73,118","1,775,795","53,194"
Female,30-34,"273,391","97,913","68,299","1,888,356","62,424"
Female,35-39,"286,850","101,804","54,855","1,786,064","62,917"
Female,40-44,"261,871","104,142","43,382","1,679,715","56,570"
Female,45-49,"208,347","94,698","34,378","1,775,056","45,838"
Female,50-54,"163,022","97,272","32,531","2,036,817","37,570"
Female,55-59,"119,130","85,706","27,178","2,064,489","28,787"
Female,60-64,"101,874","54,039","16,587","1,805,391","22,563"
Female,65-69,"84,464","28,962","9,808","1,583,091","17,445"
Female,70-74,"61,406","18,306","6,873","1,655,164","12,645"
Female,75-79,"37,072","16,404","4,581","1,242,570","7,729"
Female,80-84,"27,171","14,819","2,775","904,763","5,182"
Female,85+,"21,057","12,552","3,129","978,038","4,709"
Male,18-19,"88,090","42,211","33,706","591,810","20,439"
Male,20-24,"229,438","93,615","77,095","1,582,661","48,759"
Male,25-29,"209,931","83,562","65,879","1,722,861","51,670"
Male,30-34,"234,184","80,639","59,482","1,803,420","59,002"
Male,35-39,"253,714","81,473","48,379","1,716,065","61,592"
Male,40-44,"247,873","82,957","37,525","1,630,559","58,833"
Male,45-49,"208,785","81,041","30,184","1,724,425","49,548"
Male,50-54,"162,352","85,971","28,407","1,965,842","41,286"
Male,55-59,"113,113","77,093","23,341","1,993,035","32,545"
Male,60-64,"96,473","49,928","14,568","1,745,859","24,703"
Male,65-69,"76,975","24,401","8,144","1,496,130","17,953"
Male,70-74,"47,461","12,616","5,224","1,520,569","12,393"
Male,75-79,"29,997","9,972","3,787","1,081,227","7,334"
Male,80-84,"24,946","10,587","2,301","703,596","4,433"
Male,85+,"17,092","8,436","1,711","573,627","3,192"
