writer_id,extreme_more,moderate_more,informative_more,informative_less,clarity_more,clarity_less,open_views_more,open_views_less
66c5ee0d624ca2722eebfa1c,35,69,78,25,72,30,78,20
595cd88562431800019d691a,11,75,82,13,88,9,69,28
6128ac21a266b9cf5decd445,13,38,72,19,63,12,57,41
5d1a1d97a51463000183f7af,0,25,45,0,80,0,0,0
56c6e662b0b7a1000c5cdb21,14,67,93,1,93,0,55,5
5e7bc150e9efba1eeee1a9ca,0,0,99,0,100,0,1,0
6664c7aa5c1c7846d3618f74,75,80,80,50,90,30,67,38
66c3861709dd0e2ad6078f6e,69,77,89,100,78,37,49,66
601ecf037d641438c0840330,23,56,84,13,94,0,12,33
602252fc987b513210335173,70,39,90,2,98,0,71,30
676c3e2462768342b943e8dd,61,58,60,59,57,57,57,58
5dd9a7ff98981d926df9ea18,20,20,100,23,100,11,50,10
5c34fa4c31c383000165a50d,14,33,94,2,96,2,16,1
677d4ffb4e07a3f53e0c3fdd,0,50,90,0,100,0,50,20
6883a8504728f57551e8c82b,20,70,80,10,75,10,60,20
5de3d4fc1d61c93cd498bb92,25,40,80,20,100,0,30,30
614873a43b76bea1f97ee78f,91,91,88,91,91,89,78,87
5c58bb2ce9813700018b0b88,5,7,50,0,59,0,37,27
664361f5205858f7e60f136b,53,39,65,13,61,7,47,52
5e78c0a426450503858d82c9,49,83,85,12,90,3,50,14
6767202a0793489cda4738d2,59,50,90,1,91,3,55,25
59d665ef03203500011acd8c,2,2,60,6,70,2,4,50
61486ad7059377d6f08fd91c,50,50,98,7,95,2,57,38
60dd30722b3a29b12a2193f8,11,37,71,19,65,25,30,39
65e4a6bdde84e615dcac2651,0,0,70,0,100,0,50,50
62b8b2be4c2b1d481f4f68c0,20,60,100,0,100,0,65,0
6777f8aafc72369e96bb6da6,1,1,85,0,100,0,1,1
60f716c8e672d09c3ba24006,5,56,78,0,56,2,62,0
66986ab71f2b54203f26ad32,13,66,64,19,30,63,71,28
60001f74b9d8d70009041d15,0,9,11,0,0,0,0,0
594b80f264c25300013deb95,54,52,72,24,65,31,54,40
66635b0f4a3d5b9452f10d7f,79,80,85,23,84,11,64,29
5fc8c56ac5116c24773999be,0,80,85,0,75,0,75,0
5c7ccbfe371d1d0015bcabc0,0,0,20,0,70,0,25,0
66e7111172fd5ff2983a9690,10,75,50,0,90,0,50,50
671fe3978b9b0b5d4b9a1265,7,8,47,39,57,0,50,50
677580b9fa6b77a8332d2237,0,0,100,0,90,0,0,0
5a0d8077f2e3460001edb910,34,37,66,13,68,0,8,48
5b35824a975e260001e9b7a6,15,30,50,15,75,10,35,40
611ec117c0e26bf092778d95,55,69,67,30,82,20,63,72
6267c02a72a6675363631f49,0,68,91,10,81,0,100,0
631cb6709d7745228a1efd23,10,10,60,0,100,0,50,0
5e5441dd8388f807991fb4a7,17,19,54,28,54,24,50,26
63d7b30ddc8ceb61c74fe85b,11,43,84,17,90,6,64,4
6149d516a3c16102a1a816bb,41,61,76,32,80,18,44,40
67657d4bd50d390b8e785097,88,38,59,39,91,24,24,71
68a5f4af8b089fe42f3a0027,0,0,0,0,60,0,0,0
611fb8ddcc7bb35d86ec0714,48,60,77,5,79,5,59,5
5d88884b6ad33a00187854e7,0,100,100,0,100,0,100,0
60de4cc94dfda4d9e1948e6d,0,12,62,0,77,19,60,21
6773f9ecbf8a434754bdbdab,45,60,87,15,100,0,40,55
623478aa93ccbf5fc88ad4f7,50,50,50,50,50,50,50,50
5d6eb94fb861b60001e7760c,1,56,74,2,92,0,14,7
65c637e0e76b878b89b9bae2,15,25,65,5,75,0,55,30
66aa682947c0e67c0ac17bf2,0,0,7,0,15,0,20,0
63f11d008327663bc314b53b,40,65,92,0,100,0,34,53
5fe9ccf43803bb921592f8ac,0,0,65,0,75,0,50,0
68a09fd470dc64f51f7ef871,27,66,81,20,85,16,51,30
5e0a095a54ff2329aa070d54,33,58,85,4,92,8,89,18
665ddc38a270e0c579baf993,75,77,88,21,85,22,51,51
5a549f948e6259000175983a,10,40,82,16,85,19,55,45
6760558ca4f9e25054c4f224,0,38,100,0,93,0,85,6
6658b625b6d37fb6ef86644d,6,8,67,0,88,0,50,3
62b5e2bd8c3c515ab19b911a,30,45,70,10,80,5,65,10
5f2464810e30c801f0c5161e,50,88,89,20,100,19,39,0
674079758b309b232c5c4045,4,3,96,0,97,0,49,48
