writer_id,age,gender,race,englishFirst,englishSkills,education,income,politicalParty,politicalIdeology,timeTaken,date
733b670b079811b8,22,Female,White,Yes,Expert,Vocational qualification,"Under £15,000",Did not vote,Centrist,20.55,2025-11-25
9239a3ef10e5ff48,45,Male,White,Yes,Expert,A-levels or equivalent,"£50,000-£74,999",Labour,Centrist,27.02,2025-11-25
0c5b0e70ac759ab8,49,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,91.23,2025-11-25
01e5607b53825cb6,59,Female,White,Yes,Advanced,Undergraduate degree,"£25,000-£34,999",Reform UK,Centrist,46.52,2025-11-25
561707c959957c1f,24,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Did not vote,Moderately Left-Wing,22.92,2025-11-25
3fddbc95faa85930,38,Male,White,Yes,Advanced,Undergraduate degree,"Under £15,000",Reform UK,Moderately Right-Wing,30.36,2025-11-25
30b3273c9ad53345,57,Female,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Greens,Moderately Left-Wing,38.11,2025-11-25
9d43403f99a21515,37,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Moderately Right-Wing,18.77,2025-11-25
c08b0fd77005fef2,38,Female,White,Yes,Intermediate,Undergraduate degree,"£15,000-£24,999",Did not vote,Centrist,23.32,2025-11-25
72a93a9fec803af5,57,Male,Black,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Labour,Centrist,68.08,2025-11-25
4a50028b5f1a57b2,21,Female,Black,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Very Left-Wing,32.4,2025-11-25
ba9c62a5a2a8975c,28,Female,White,Yes,Expert,Postgraduate degree (Master's),"Under £15,000",Labour,Very Left-Wing,36.2,2025-11-25
8dc7925bbf3bcf5a,37,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Liberal Democrats,Moderately Left-Wing,33.51,2025-11-25
4eeaa97994c55133,44,Male,White,Yes,Expert,Doctorate (PhD),"Under £15,000",Liberal Democrats,Centrist,51.18,2025-11-25
161994d45f046aba,25,Other,White,Yes,Expert,Vocational qualification,"Under £15,000",Greens,Moderately Left-Wing,22.46,2025-11-25
b4c9cd252087ca11,42,Female,Asian,No,Advanced,Undergraduate degree,"£35,000-£49,999",Prefer not to say,Centrist,38.8,2025-11-25
faa3922be9fa3c11,39,Female,Black,Bilingual from birth,Advanced,Postgraduate degree (Master's),"£15,000-£24,999",Labour,Centrist,44.55,2025-11-25
41af314741a406f6,28,Male,Asian,No,Advanced,Postgraduate degree (Master's),"Under £15,000",Did not vote,Moderately Left-Wing,26.72,2025-11-25
834fc5279ed6c4d5,28,Female,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Did not vote,Very Left-Wing,29.51,2025-11-25
7abd1c55fb90ba07,34,Female,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Greens,Very Left-Wing,22.72,2025-11-25
602007c0a7e5eac1,33,Female,White,Yes,Expert,Vocational qualification,"£15,000-£24,999",Labour,Moderately Left-Wing,47.58,2025-11-25
be0ae7f722eba01f,35,Female,Asian,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Left-Wing,59.06,2025-11-25
e9017625c1262a96,31,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Greens,Very Left-Wing,18.03,2025-11-25
5149cb9f806a9674,59,Female,White,Yes,Advanced,Undergraduate degree,"£35,000-£49,999",Did not vote,Moderately Right-Wing,59.1,2025-11-25
548969bc3d559244,68,Male,White,Yes,Advanced,GCSEs or equivalent,"£25,000-£34,999",Other,Moderately Right-Wing,88.12,2025-11-25
2f6f83ea5fcade5b,55,Female,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Centrist,49.42,2025-11-25
4bc1592bd38ef0a7,19,Female,Prefer not to say,Yes,Expert,A-levels or equivalent,"Under £15,000",Did not vote,Centrist,33.11,2025-11-25
00907ce1651381ff,31,Male,Asian,No,Advanced,Doctorate (PhD),"£35,000-£49,999",Did not vote,Moderately Left-Wing,36.75,2025-11-25
31e48fe6e70c3e27,56,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Scottish National Party,Moderately Left-Wing,29.43,2025-11-25
2333bdc01be4567e,72,Female,White,Yes,Advanced,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,55.07,2025-11-25
004c7bf24c9112c4,32,Male,White,Yes,Expert,GCSEs or equivalent,"Under £15,000",Did not vote,Prefer not to say,32.97,2025-11-25
53171b94c5c67b4c,58,Male,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Moderately Left-Wing,28.01,2025-11-25
470683ab5ce865a3,24,Female,White,Yes,Expert,Postgraduate degree (Master's),"Under £15,000",Greens,Very Left-Wing,38.06,2025-11-25
6e0b6c3c1f314e94,30,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Greens,Moderately Left-Wing,15.9,2025-11-25
8469431f76816953,36,Female,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Labour,Moderately Left-Wing,25.86,2025-11-25
37104faf6bdd7b73,62,Female,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Labour,Moderately Right-Wing,129.22,2025-11-25
7d8cd2bd50ca6b38,30,Female,White,Yes,Expert,Undergraduate degree,"Under £15,000",Other,Centrist,47.33,2025-11-25
0eea1eef1c0e441f,27,Female,White,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Centrist,20.25,2025-11-25
7ad51fd01034765a,49,Male,White,Yes,Expert,Undergraduate degree,"£15,000-£24,999",Reform UK,Moderately Right-Wing,29.67,2025-11-25
6cbf8bce2cb4f427,21,Female,White,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Moderately Left-Wing,33.2,2025-11-25
0b163206b514074e,24,Female,White,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Did not vote,Moderately Left-Wing,22.16,2025-11-25
6225f50fdc97a780,31,Male,White,No,Advanced,GCSEs or equivalent,"£15,000-£24,999",Did not vote,Centrist,25.76,2025-11-25
4320d4143c3f24c2,37,Female,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Conservative,Moderately Left-Wing,34.54,2025-11-25
4258fe19ffeed861,36,Female,Asian,No,Expert,Doctorate (PhD),"£50,000-£74,999",Not eligible to vote,Moderately Left-Wing,45.26,2025-11-25
b149e0aca3ab3907,53,Female,White,Yes,Advanced,A-levels or equivalent,"£25,000-£34,999",Labour,Moderately Left-Wing,29.72,2025-11-25
dc81c9c81bfe13dc,31,Female,White,Yes,Expert,GCSEs or equivalent,"£15,000-£24,999",Did not vote,Moderately Left-Wing,37.29,2025-11-25
61332d565a6baf9a,29,Female,White,Yes,Expert,Doctorate (PhD),"£50,000-£74,999",Greens,Centrist,62.44,2025-11-25
ebd3a0722b40f19a,30,Female,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Moderately Right-Wing,28.31,2025-11-25
