rater_id,age,gender,race,englishFirst,englishSkills,education,income,politicalParty,politicalIdeology,timeTaken,date
a96132bcdfd5faa4,59,Female,Black,Bilingual from birth,Advanced,Undergraduate degree,Prefer not to say,Labour,Moderately Left-Wing,84.11,2025-12-16
704c312f6ad3e0b2,20,Male,Asian,No,Advanced,A-levels or equivalent,"Under £15,000",Not eligible to vote,Moderately Left-Wing,34.26,2025-12-16
9b0f4f3ae872aa27,35,Male,White,Yes,Expert,A-levels or equivalent,"£75,000-£99,999",Reform UK,Moderately Right-Wing,52.43,2025-12-16
eaed396b39fe9324,29,Male,Black,Yes,Intermediate,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Centrist,67.77,2025-12-16
f67d636868f60a29,33,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Conservative,Centrist,31.11,2025-12-16
c2b8648fe3618c6d,47,Female,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Scottish National Party,Moderately Left-Wing,63.08,2025-12-16
01022aa636217c30,44,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Centrist,40.59,2025-12-16
4f16f2df6294ee09,24,Female,Mixed,Yes,Expert,Undergraduate degree,"£15,000-£24,999",Greens,Very Left-Wing,34.41,2025-12-16
7e4ffbde9f7d3355,24,Female,Mixed,Yes,Expert,A-levels or equivalent,"£15,000-£24,999",Prefer not to say,Moderately Left-Wing,45.63,2025-12-16
681e72e66c9ccf48,36,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Very Left-Wing,48.95,2025-12-16
7d4dd735102a601e,22,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Did not vote,Moderately Left-Wing,19.75,2025-12-16
9219b9a859f6637c,33,Male,Black,Yes,Intermediate,Undergraduate degree,"£75,000-£99,999",Conservative,Centrist,62.52,2025-12-16
fea2d2cc472a76b3,40,Female,White,Yes,Expert,GCSEs or equivalent,"Under £15,000",Labour,Moderately Left-Wing,29.85,2025-12-16
7cc5f7fd0a0410f7,54,Female,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Reform UK,Moderately Right-Wing,24.34,2025-12-16
8a8bae6a1be10620,29,Female,White,Yes,Advanced,GCSEs or equivalent,"Under £15,000",Greens,Moderately Left-Wing,22.36,2025-12-16
c308f4049c35fced,32,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Moderately Right-Wing,30.08,2025-12-16
e134b1e0e69d0ee7,29,Female,White,Yes,Expert,Undergraduate degree,"Under £15,000",Conservative,Centrist,31.74,2025-12-16
0fb9daa92a60e600,42,Female,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Greens,Moderately Right-Wing,34.62,2025-12-16
f5155ddf791b2a2d,53,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Centrist,47.34,2025-12-16
df45c8c95442e210,34,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,35.52,2025-12-16
a596d34b65a9b861,52,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Right-Wing,39.92,2025-12-16
a2415c4b1d63858f,26,Female,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Greens,Moderately Left-Wing,39.97,2025-12-16
26d91d68cbdf0525,46,Female,Mixed,Yes,Expert,GCSEs or equivalent,Prefer not to say,Labour,Centrist,30.93,2025-12-16
5aa05471d2f8bf52,42,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Centrist,49.47,2025-12-16
