rater_id,age,gender,race,englishFirst,englishSkills,education,income,politicalParty,politicalIdeology,timeTaken,date
f3e36630cee47de1,31,Male,White,Yes,Advanced,Vocational qualification,"£25,000-£34,999",Reform UK,Moderately Right-Wing,5.75,2026-06-04
f7c3a28c8bf666c2,29,Male,Other,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Conservative,Moderately Left-Wing,18.07,2026-06-04
4cca75f86d62820e,27,Female,White,No,Advanced,A-levels or equivalent,"£35,000-£49,999",Prefer not to say,Prefer not to say,8.08,2026-06-04
c54fdf6d424ce197,33,Male,White,Yes,Expert,Vocational qualification,"£25,000-£34,999",Labour,Centrist,6.35,2026-06-04
f936369c492fdca3,49,Female,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Conservative,Moderately Right-Wing,9.16,2026-06-04
01b26c27fc74c60c,41,Female,White,Bilingual from birth,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Conservative,Moderately Right-Wing,11.3,2026-06-04
e69dcf9348da4b60,32,Male,White,Yes,Advanced,Vocational qualification,"£25,000-£34,999",Labour,Centrist,5.86,2026-06-04
46f5286661938eb3,52,Female,White,Yes,Expert,GCSEs or equivalent,"£35,000-£49,999",Conservative,Centrist,10.37,2026-06-04
67b0e20638af363f,55,Female,White,Yes,Expert,GCSEs or equivalent,"£15,000-£24,999",Labour,Moderately Left-Wing,14.25,2026-06-04
618387d75441f7e4,47,Female,White,No,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Not eligible to vote,Moderately Left-Wing,7.78,2026-06-04
532c51c131a479ae,18,Male,Asian,No,Advanced,Postgraduate degree (Master's),"£15,000-£24,999",Did not vote,Centrist,6.65,2026-06-04
8fca3da72d26222a,51,Female,Black,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Did not vote,Moderately Left-Wing,10.78,2026-06-04
cb487184aa28b617,64,Female,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Labour,Centrist,11.82,2026-06-04
03046f7500431843,22,Female,Black,Yes,Expert,A-levels or equivalent,Prefer not to say,Labour,Moderately Left-Wing,14.78,2026-06-04
18a8add9c23c0dc2,32,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Moderately Right-Wing,8.14,2026-06-04
c7c3b1bee01ff849,23,Female,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Labour,Moderately Right-Wing,11.18,2026-06-04
669c2d57146d2bf2,29,Male,White,Yes,Advanced,A-levels or equivalent,"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing,11.39,2026-06-04
5d338ee660f0d6b8,60,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing,9.15,2026-06-04
25c0a0c778488a9e,41,Male,Black,Yes,Advanced,A-levels or equivalent,"Under £15,000",Greens,Moderately Left-Wing,17.84,2026-06-04
6e298f30584a421f,58,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Centrist,8.88,2026-06-04
56f99efcb8939a60,36,Female,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Conservative,Moderately Right-Wing,12.64,2026-06-04
f3b23dd6fb6ed7ab,44,Other,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Centrist,5.61,2026-06-04
22d1f232bd022f0a,19,Female,Asian,Yes,Expert,A-levels or equivalent,"Under £15,000",Not eligible to vote,Moderately Left-Wing,5.48,2026-06-04
268e98f589c320e2,40,Male,Mixed,Yes,Expert,Other,"Under £15,000",Labour,Moderately Left-Wing,9.62,2026-06-04
17046ef3f71c7fa7,27,Male,Black,Yes,Intermediate,Postgraduate degree (Master's),"£15,000-£24,999",Labour,Moderately Left-Wing,8.48,2026-06-04
95d1a070aec5d598,22,Male,Mixed,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Moderately Left-Wing,5.6,2026-06-04
2bfe4959c7968157,32,Female,Black,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Reform UK,Centrist,20.19,2026-06-04
c2c0a5b093007076,35,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Moderately Left-Wing,5.61,2026-06-04
b3f9edeeb293114b,25,Male,Asian,Yes,Expert,A-levels or equivalent,"Under £15,000",Labour,Very Left-Wing,6.29,2026-06-04
ceac5ad2d8e423eb,35,Other,White,Yes,Expert,A-levels or equivalent,"£50,000-£74,999",Labour,Very Left-Wing,11.39,2026-06-04
5c158f5801803d1e,28,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Moderately Left-Wing,7.53,2026-06-04
ea05f0c987f2573a,44,Male,White,Yes,Expert,Vocational qualification,"£50,000-£74,999",Reform UK,Moderately Right-Wing,6.08,2026-06-04
ebea4842406037a1,25,Male,White,No,Expert,Undergraduate degree,"£15,000-£24,999",Liberal Democrats,Centrist,8.77,2026-06-04
a50f1142bc55b601,26,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Reform UK,Moderately Right-Wing,6.91,2026-06-04
aa52ce8dc6f64fba,34,Female,Black,Yes,Advanced,Undergraduate degree,"£50,000-£74,999",Did not vote,Centrist,9.88,2026-06-04
1ba0a6ff88e8258e,46,Male,White,No,Advanced,A-levels or equivalent,"£25,000-£34,999",Not eligible to vote,Very Right-Wing,9.56,2026-06-04
76f3125645ebe389,21,Male,White,Yes,Expert,A-levels or equivalent,"Under £15,000",Did not vote,Centrist,7.17,2026-06-04
fa9046c520bd51c9,31,Female,Black,Yes,Advanced,GCSEs or equivalent,"£25,000-£34,999",Did not vote,Prefer not to say,6.5,2026-06-04
58083e8386cd9256,30,Male,White,Yes,Advanced,A-levels or equivalent,"£25,000-£34,999",Scottish National Party,Moderately Left-Wing,7.26,2026-06-04
288d1c1a4f02a6c9,30,Female,Black,Yes,Advanced,Undergraduate degree,"£35,000-£49,999",Labour,Moderately Left-Wing,15.31,2026-06-04
6766f5cafbdaf9a6,26,Female,White,No,Expert,A-levels or equivalent,"£15,000-£24,999",Scottish National Party,Very Left-Wing,9.74,2026-06-04
09d7f61b0daf9b19,21,Female,Other,Bilingual from birth,Expert,A-levels or equivalent,"£35,000-£49,999",Did not vote,Centrist,8.19,2026-06-04
58fc2889b65f66df,33,Male,Black,Yes,Advanced,Postgraduate degree (Master's),"£75,000-£99,999",Conservative,Very Right-Wing,20.29,2026-06-04
