rater_id,age,gender,race,englishFirst,englishSkills,education,income,politicalParty,politicalIdeology,timeTaken,date
356f7fe9ca72b717,30,Male,Asian,Yes,Expert,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,7.09,2026-06-01
bbe6b47da6976ba6,42,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Centrist,7.6,2026-06-01
7333560ce682bdc4,27,Male,Black,Yes,Advanced,Postgraduate degree (Master's),"£75,000-£99,999",Prefer not to say,Centrist,14.65,2026-06-01
dcbe0a516d4f3a95,37,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Greens,Centrist,17.35,2026-06-01
03ccdccf3dd5581d,30,Female,White,Yes,Expert,Vocational qualification,"£15,000-£24,999",Labour,Moderately Left-Wing,9.07,2026-06-01
c74f695f89cd86c6,30,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,6.23,2026-06-01
348beaf3e57a421e,27,Male,Asian,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Centrist,13.69,2026-06-01
653175d568f978ce,48,Male,Asian,No,Expert,Undergraduate degree,"£100,000+",Liberal Democrats,Centrist,11.24,2026-06-01
77c6c5f952e7a07b,57,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Scottish National Party,Centrist,12.42,2026-06-01
3dc17a5708a43790,18,Male,White,Bilingual from birth,Expert,A-levels or equivalent,"Under £15,000",Not eligible to vote,Centrist,6.07,2026-06-01
d314b148eada1fc7,36,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Very Left-Wing,8.75,2026-06-01
f86f1e3ef1ab40c0,26,Male,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Labour,Moderately Left-Wing,8.43,2026-06-01
1d70e5944251523b,43,Female,Asian,Bilingual from birth,Advanced,Postgraduate degree (Master's),"£15,000-£24,999",Reform UK,Very Right-Wing,14.46,2026-06-01
8714e2a850802a52,35,Other,White,No,Advanced,Postgraduate degree (Master's),"Under £15,000",Did not vote,Moderately Left-Wing,10.63,2026-06-01
5c6aa8703e6cd188,51,Male,Asian,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Prefer not to say,Prefer not to say,5.74,2026-06-01
d5fc5d87a76d2950,41,Male,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Conservative,Moderately Right-Wing,5.47,2026-06-01
674b852ff47e88a1,40,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Prefer not to say,Centrist,8.69,2026-06-01
92b5fdba4ed4899f,29,Female,Asian,No,Expert,Postgraduate degree (Master's),"£75,000-£99,999",Did not vote,Moderately Left-Wing,8.09,2026-06-01
af16b548bd5deefe,29,Female,White,Yes,Advanced,A-levels or equivalent,"£15,000-£24,999",Labour,Centrist,7.06,2026-06-01
389967c7ca5f2b5c,21,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,6.1,2026-06-01
86e987707f9b63e8,18,Male,Asian,Bilingual from birth,Expert,A-levels or equivalent,"Under £15,000",Not eligible to vote,Moderately Left-Wing,8.04,2026-06-01
57c253c580803cc7,36,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Liberal Democrats,Centrist,8.29,2026-06-01
fb1947028d3f64f1,22,Male,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Did not vote,Centrist,6.56,2026-06-01
