distortion,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,std
extreme_more,34.973351099267155,33.573984010659565,36.46720519653564,30.0,27.0,31.0,28.8898705898102
moderate_more,50.7001998667555,49.20644570286476,52.05398067954697,54.0,52.0,56.0,28.49171914714917
confidence_more,66.42638241172551,65.10651232511658,67.7125749500333,72.0,70.0,74.0,26.20031953057692
confidence_less,20.48301132578281,19.49620253164557,21.529680213191206,16.0,14.0,18.0,20.407103612693422
knowledge_more,63.63690872751499,62.217821452365094,64.95139906728848,69.0,67.0,70.0,27.365929124326545
knowledge_less,17.007328447701532,16.061342438374417,18.06325782811459,10.0,9.0,12.0,19.755284852195462
importance_more,48.299133910726184,46.96927048634244,49.70048301132579,51.0,50.0,52.0,27.558673031359643
importance_less,21.59560293137908,20.638807461692206,22.572401732178548,17.0,16.0,19.0,20.22383957906027
relevance_more,71.73351099267155,70.63001332445036,72.89263824117256,75.0,75.0,77.0,23.324828036480334
relevance_less,16.175882744836777,15.246968687541639,17.142638241172552,10.0,9.0,11.0,18.373596399096957
clarity_more,80.76282478347768,79.64550299800133,81.83990672884744,86.0,85.0,88.0,21.21168806142686
clarity_less,11.38107928047968,10.560592938041307,12.203580946035974,4.0,3.0,5.0,16.486156266224615
formality_more,65.26249167221852,63.93127914723518,66.4962358427715,68.0,66.0,70.0,24.36454498215451
formality_less,34.680879413724185,33.462841439040645,35.95724516988674,35.0,32.0,37.0,24.70463035194245
informative_more,72.46035976015989,71.37696535642905,73.62994670219852,76.0,75.0,78.0,23.710432182279728
informative_less,18.655562958027982,17.688057961359096,19.60566289140573,13.0,11.0,14.0,19.492304909874914
originality_more,60.29313790806129,59.00526315789473,61.57453364423718,62.0,61.0,64.0,26.49783663270712
originality_less,22.632911392405063,21.611825449700202,23.65314790139907,19.0,17.0,20.0,20.568563945613953
friendliness_more,59.90206528980679,58.57226848767489,61.16004330446369,62.0,60.0,64.0,25.102916213029932
friendliness_less,24.78680879413724,23.65006662225183,25.915589606928716,21.0,20.0,23.0,21.933775762723023
optimism_more,52.41905396402398,51.05852764823451,53.6030979347102,53.0,52.0,54.0,26.26109181605148
optimism_less,28.923384410393073,27.841255829447036,30.027348434377082,30.0,28.0,31.0,21.60916764102982
community_more,53.48301132578281,52.19415389740173,54.78574283810793,53.0,52.0,55.0,26.30552308025582
community_less,27.788141239173886,26.763357761492337,28.80446369087275,28.0,26.0,30.0,21.05143904683727
open_views_more,52.88540972684877,51.48694203864091,54.31925383077948,56.0,55.0,58.0,27.425952313736442
open_views_less,28.64423717521652,27.488207861425714,29.763624250499667,27.0,25.0,29.0,23.070269795439696
hope_more,55.189207195203196,53.83664223850766,56.52979680213191,59.0,56.0,60.0,26.19588091229309
hope_less,26.558294470353097,25.423617588274485,27.71134243837442,26.0,24.0,28.0,20.6884210648347
excitement_more,54.11925383077948,52.77541638907395,55.45271485676216,57.0,56.0,59.0,25.807797963203427
excitement_less,29.706862091938707,28.524983344437043,30.78352764823451,30.0,28.0,32.0,21.752931133074963
fear_more,28.181878747501667,26.86603930712858,29.389090606262492,25.0,22.0,27.0,24.04774898823771
fear_less,38.69953364423718,37.47689873417721,40.18879080612925,43.0,40.0,45.0,27.33527013065173
disgust_more,26.181878747501667,25.012624916722185,27.407811459027318,21.0,18.0,23.0,24.38184224789604
disgust_less,37.58494337108594,36.15053297801465,39.0336109260493,39.0,36.0,43.0,28.380632124980192
anger_more,27.61958694203864,26.305696202531646,28.941605596269152,22.0,20.0,25.0,24.98404536424401
anger_less,39.131912058627584,37.6086109260493,40.634293804130586,41.0,39.0,44.0,29.019072824752023
age_older,37.331778814123915,36.001065956029315,38.715406395736174,46.0,41.0,48.0,27.219512292355844
age_younger,34.730179880079945,33.40173217854763,36.036858760826114,39.0,36.0,41.0,26.06875170072952
gender_different,27.888740839440374,26.560093271152564,29.327481678880748,21.0,18.0,24.0,26.834187394940635
race_different,24.189873417721518,22.99586942038641,25.485259826782148,15.0,12.0,18.0,25.060605021639702
english_better,66.95003331112592,65.58247834776816,68.29815123251166,73.0,72.0,75.0,28.155914150770464
english_worse,12.217854763491006,11.30379746835443,13.178947368421053,4.0,3.0,5.0,18.327825139067254
education_more,63.32045303131246,61.919803464357095,64.7383744170553,69.0,66.0,70.0,28.552114482024372
education_less,14.09526982011992,13.169803464357095,15.113374417055297,6.0,5.0,7.0,18.581269716495388
income_higher,39.786808794137244,38.3675383077948,41.26427381745503,49.0,49.0,50.0,28.439266033826353
income_lower,25.89873417721519,24.67804796802132,27.079297135243173,22.0,20.0,25.0,22.885695788635264
politics_party_different,21.057961359093937,19.86114257161892,22.21922051965356,10.0,10.0,12.0,23.827126800655297
politics_extreme,17.64890073284477,16.506628914057295,18.909693537641573,8.0,6.0,10.0,22.353373655687996
politics_moderate,33.46768820786143,32.04745169886742,34.904097268487675,36.0,32.97500000000002,41.0,27.748894066587965
