writer_id,age,gender,race,englishFirst,englishSkills,education,income,politicalParty,politicalIdeology,timeTaken,date
cb4779a7005262ff,41,Female,White,No,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Moderately Right-Wing,22.85,2025-06-13
3053bbf2a2d9291f,37,Female,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Labour,Centrist,29.65,2025-06-13
00c79738370b4870,27,Male,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Greens,Prefer not to say,10.47,2025-06-13
a5bdd11bf617a177,55,Male,White,Yes,Advanced,Vocational qualification,"£35,000-£49,999",Labour,Centrist,49.12,2025-06-13
2be2b8419203e373,27,Female,White,Yes,Advanced,A-levels or equivalent,"£15,000-£24,999",Labour,Moderately Left-Wing,34.62,2025-06-13
afd0a8bc6b17dcb0,37,Male,White,Yes,Expert,Undergraduate degree,"£15,000-£24,999",Labour,Moderately Left-Wing,28.15,2025-06-13
233f8b2e3656332c,40,Female,White,Yes,Expert,Undergraduate degree,Prefer not to say,Other,Moderately Left-Wing,27.18,2025-06-13
c7cac4ea48a5d3e6,56,Male,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Very Right-Wing,62.65,2025-06-13
e1737e62eec9ad13,31,Female,White,Yes,Expert,Doctorate (PhD),"Under £15,000",Labour,Moderately Left-Wing,22.61,2025-06-13
4203531e761c1a16,29,Male,Black,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Moderately Right-Wing,99.29,2025-06-13
1d7f636aaec98f0c,31,Male,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Labour,Centrist,20.31,2025-06-13
0fcd587285765539,31,Female,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Other,Centrist,20.95,2025-06-13
4a167e39444f6b57,24,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Did not vote,Moderately Right-Wing,111.12,2025-06-13
5e83574547384835,27,Female,White,Yes,Expert,A-levels or equivalent,"Under £15,000",Other,Very Left-Wing,21.05,2025-06-13
63034a096f5b475e,33,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Liberal Democrats,Centrist,93.89,2025-06-13
ec92f2018185ef48,51,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Very Left-Wing,34.18,2025-06-13
5f57fda6dee5c2a1,68,Female,White,Yes,Expert,A-levels or equivalent,"£25,000-£34,999",Conservative,Moderately Right-Wing,39.65,2025-06-13
f2e1c8c9d0feed76,39,Male,Black,No,Intermediate,Undergraduate degree,"£15,000-£24,999",Labour,Centrist,81.91,2025-06-13
065a97ab2bfafb2d,41,Male,White,Yes,Expert,Doctorate (PhD),"£50,000-£74,999",Labour,Moderately Left-Wing,32.14,2025-06-13
95e6814db26e555d,23,Female,White,Yes,Expert,Prefer not to say,"Under £15,000",Did not vote,Centrist,27.65,2025-06-13
14d9232f8d4e5003,24,Male,White,Yes,Advanced,A-levels or equivalent,"£15,000-£24,999",Labour,Centrist,31.34,2025-06-13
5c2588ea9f180ecd,52,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Other,Moderately Right-Wing,25.47,2025-06-13
fd0366805cbef48e,48,Male,Black,Yes,Expert,A-levels or equivalent,"Under £15,000",Labour,Moderately Left-Wing,41.17,2025-06-13
5b9da45aa7c4da5a,29,Male,Black,Yes,Advanced,Undergraduate degree,"£50,000-£74,999",Conservative,Very Right-Wing,37.63,2025-06-13
1e3f96e9805ed6e4,55,Male,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Conservative,Moderately Right-Wing,69.07,2025-06-13
4813e2b94d646782,77,Female,White,Yes,Advanced,Undergraduate degree,"£15,000-£24,999",Labour,Centrist,44.17,2025-06-13
ee8f71861ad26017,42,Female,Black,Yes,Expert,Postgraduate degree (Master's),"£75,000-£99,999",Liberal Democrats,Very Right-Wing,70.02,2025-06-13
cd92c6afe1e23433,28,Female,White,No,Advanced,Undergraduate degree,"Under £15,000",Not eligible to vote,Moderately Left-Wing,27.25,2025-06-13
d9ba8ebf344f08fc,47,Male,White,Yes,Expert,Postgraduate degree (Master's),"£25,000-£34,999",Labour,Very Left-Wing,27.61,2025-06-13
c926a3b6df878af8,29,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Did not vote,Very Left-Wing,20.76,2025-06-13
f34d78ec9e678835,42,Female,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Labour,Very Left-Wing,32.01,2025-06-13
f5aa2b840c12da77,27,Male,White,Yes,Expert,Undergraduate degree,"£15,000-£24,999",Labour,Very Left-Wing,25.18,2025-06-13
f311929c38bace19,26,Male,White,Yes,Expert,A-levels or equivalent,"Under £15,000",Greens,Very Left-Wing,35.53,2025-06-13
9fb6f43d4f2de034,26,Male,White,Yes,Expert,Undergraduate degree,"Under £15,000",Liberal Democrats,Moderately Left-Wing,28.8,2025-06-13
d58a0069e5dd1126,50,Male,White,Yes,Expert,Undergraduate degree,Prefer not to say,Conservative,Centrist,26.28,2025-06-13
d16ab15aac3dbc23,31,Female,White,Yes,Expert,GCSEs or equivalent,"£15,000-£24,999",Did not vote,Centrist,24.95,2025-06-13
9bb6af1a93f645b9,44,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Left-Wing,33.46,2025-06-13
7cb2051bb51722b5,26,Male,Asian,Yes,Expert,A-levels or equivalent,"Under £15,000",Greens,Centrist,20.85,2025-06-13
32321e39d69c77b6,38,Male,Black,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Conservative,Very Right-Wing,67.36,2025-06-13
5018616c9a587058,43,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Centrist,26.9,2025-06-13
4ff99e4550efec30,37,Male,White,Yes,Expert,Doctorate (PhD),"£100,000+",Labour,Very Left-Wing,65.06,2025-06-13
4e1b70d6c3a8c554,28,Male,White,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Moderately Left-Wing,22.16,2025-06-13
b1c0e63375267066,43,Male,Asian,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing,49.96,2025-06-13
9f52ebaaadef07ed,76,Male,White,Yes,Advanced,Vocational qualification,"£25,000-£34,999",Conservative,Moderately Right-Wing,27.77,2025-06-13
30f47a5680742734,30,Female,White,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Liberal Democrats,Moderately Left-Wing,30.85,2025-06-13
1eed845f5b63a640,60,Male,White,Yes,Advanced,Postgraduate degree (Master's),"£35,000-£49,999",Scottish National Party,Moderately Left-Wing,66.62,2025-06-13
0cd6021bef64d1cd,52,Female,Mixed,Yes,Expert,GCSEs or equivalent,"Under £15,000",Labour,Moderately Left-Wing,32.07,2025-06-13
77f0eed024a9a616,60,Male,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing,71.64,2025-06-13
05929e3ff6183276,27,Female,White,Yes,Expert,Postgraduate degree (Master's),"£35,000-£49,999",Liberal Democrats,Centrist,35.22,2025-06-13
0024e29d9843bb14,34,Male,Black,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Centrist,36.93,2025-06-13
afac89a4e768af33,58,Male,White,Yes,Expert,Postgraduate degree (Master's),"£100,000+",Liberal Democrats,Very Left-Wing,70.96,2025-06-13
8ae5f6d9ab57e654,49,Male,Asian,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Left-Wing,22.72,2025-06-13
ec6a4a52b6d8e463,45,Female,White,Yes,Expert,Undergraduate degree,Prefer not to say,Scottish National Party,Moderately Left-Wing,19.84,2025-06-13
c194c106f28f4bb6,43,Female,White,Yes,Expert,A-levels or equivalent,"£15,000-£24,999",Conservative,Centrist,41.29,2025-06-13
70e1105da3622411,27,Female,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Greens,Very Left-Wing,39.15,2025-06-13
9b3da1daf80ae50c,62,Female,White,Yes,Advanced,Vocational qualification,"£25,000-£34,999",Labour,Moderately Left-Wing,31.55,2025-06-13
e60ac8ca82029da2,50,Female,White,Yes,Expert,Vocational qualification,"£50,000-£74,999",Labour,Centrist,19.57,2025-06-13
1e7fb5fbe327ceab,41,Female,White,Yes,Expert,Doctorate (PhD),"£25,000-£34,999",Labour,Very Left-Wing,45.17,2025-06-13
992615ffebd3b5f9,36,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Moderately Left-Wing,30.82,2025-06-13
db6f3e32c2a9d8b8,20,Female,White,Yes,Expert,Undergraduate degree,"Under £15,000",Liberal Democrats,Moderately Right-Wing,25.01,2025-06-13
661cf90a252f9436,35,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Conservative,Centrist,33.97,2025-06-13
9e7fcf6c8c088663,19,Male,White,Yes,Expert,Undergraduate degree,"Under £15,000",Labour,Centrist,59.24,2025-06-13
7cbd8c7722a3238f,28,Male,White,Yes,Expert,A-levels or equivalent,Prefer not to say,Liberal Democrats,Moderately Left-Wing,29.88,2025-06-13
16368023b2f70f8e,64,Male,White,Yes,Expert,A-levels or equivalent,"£15,000-£24,999",Labour,Centrist,32.27,2025-06-13
ba1f676da93d13fa,32,Male,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Liberal Democrats,Centrist,36.43,2025-06-13
34decf084f701873,28,Male,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Labour,Moderately Right-Wing,57.5,2025-06-13
85760cdcfb15e53d,50,Male,Other,Yes,Expert,Postgraduate degree (Master's),"£75,000-£99,999",Greens,Centrist,28.3,2025-06-13
c88766dc26aac75a,39,Male,White,Yes,Expert,Undergraduate degree,"£75,000-£99,999",Conservative,Centrist,25.21,2025-06-13
80d1a3a401fef830,38,Male,White,Yes,Advanced,A-levels or equivalent,"Under £15,000",Other,Moderately Right-Wing,26.87,2025-06-13
eefaec94f59f98f1,34,Male,White,Yes,Expert,Vocational qualification,"£35,000-£49,999",Labour,Moderately Left-Wing,27.92,2025-06-13
e4acdf0fb3a3e61c,28,Female,White,Yes,Expert,Postgraduate degree (Master's),Prefer not to say,Scottish National Party,Moderately Left-Wing,26.6,2025-06-13
1d53dbf22bf0360d,28,Female,White,Yes,Advanced,Postgraduate degree (Master's),"Under £15,000",Did not vote,Moderately Left-Wing,35.81,2025-06-13
4d324b06634b64ab,20,Male,Other,Yes,Expert,A-levels or equivalent,"£15,000-£24,999",Greens,Centrist,20.1,2025-06-13
05db02c94da520f5,34,Male,Black,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Centrist,57.7,2025-06-13
d5eac7994b087ea5,59,Male,White,Yes,Expert,Vocational qualification,"£25,000-£34,999",Other,Moderately Right-Wing,46.47,2025-06-13
f9416ac8b815fcfd,41,Male,White,Yes,Expert,Undergraduate degree,"£25,000-£34,999",Did not vote,Centrist,59.83,2025-06-13
d86937efde28fe5e,45,Female,White,Yes,Expert,Vocational qualification,"£35,000-£49,999",Conservative,Moderately Right-Wing,32.69,2025-06-13
47f4d087225275aa,24,Female,White,Yes,Expert,Postgraduate degree (Master's),"£15,000-£24,999",Labour,Very Left-Wing,21.95,2025-06-13
016a8e0e7c625354,63,Female,White,Yes,Intermediate,Vocational qualification,"£15,000-£24,999",Greens,Centrist,42.14,2025-06-15
48b7698facf78f1d,49,Male,White,Yes,Expert,Vocational qualification,"£35,000-£49,999",Labour,Very Left-Wing,31.08,2025-06-15
18d510fc3faeb2bf,33,Female,White,Yes,Expert,Vocational qualification,"£15,000-£24,999",Did not vote,Other,24.11,2025-06-15
bb575a7b65c6159f,39,Female,White,Yes,Expert,Undergraduate degree,"£15,000-£24,999",Labour,Centrist,19.07,2025-06-15
2d3a7ccdbc18069b,43,Female,White,Yes,Expert,Vocational qualification,"£15,000-£24,999",Scottish National Party,Moderately Left-Wing,22.86,2025-06-15
a8033262bc9b7662,26,Female,White,No,Expert,Undergraduate degree,"£25,000-£34,999",Not eligible to vote,Very Left-Wing,56.17,2025-06-15
3588a9f1a262d5cf,33,Male,Black,Yes,Expert,Undergraduate degree,"£50,000-£74,999",Labour,Moderately Right-Wing,95.21,2025-06-15
64b2e34650f2a9b3,34,Female,Black,Yes,Expert,Postgraduate degree (Master's),"Under £15,000",Labour,Moderately Left-Wing,62.51,2025-06-15
7337d8052ed76150,18,Female,White,Yes,Expert,A-levels or equivalent,"£35,000-£49,999",Not eligible to vote,Moderately Left-Wing,27.08,2025-06-15
