variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
writer_knowledge,11718,55.00708311998635,24.868513854226038,58.0,11694,70.69582691978792,20.823245371312005,75.0,15.688743799801571
writer_importance,11718,63.86396996074416,24.104703133659466,67.0,11694,72.98708739524542,20.660468538961993,76.0,9.123117434501268
writer_confidence,11718,68.60914831882573,25.023617587555883,73.0,11694,78.14870873952454,20.947259595351134,83.0,9.539560420698805
writer_stance_polarity,11718,61.82130056323605,34.085722232821915,70.0,11694,68.57739011458868,32.35977183127845,80.0,6.7560895513526305
paragraph_formality,11718,43.932070319167096,26.21143851617349,44.0,11694,68.79647682572259,20.902611068426634,71.0,24.864406506555497
paragraph_clarity,11718,68.86175115207374,26.166717599162933,75.0,11694,80.74448435094921,20.41880944002718,86.0,11.88273319887547
paragraph_informativeness,11718,42.58090117767537,27.2449132014725,43.0,11694,62.45587480759364,24.227168159330983,67.0,19.874973629918266
paragraph_originality,11718,35.9031404676566,24.967397132168472,33.0,11694,46.47118180263383,24.839358664043083,49.0,10.56804133497723
paragraph_relevance,11718,72.07083119986346,23.887129702911647,76.0,11694,82.29639131178382,18.758314004303443,87.0,10.225560111920359
writer_optimism,11718,44.692438982761566,22.231427534895268,48.0,11694,52.10843167436292,21.383501283443966,51.0,7.415992691601353
writer_community,11718,59.02432155657962,23.519546688130603,61.0,11694,65.52633829314178,22.151278911792186,68.0,6.502016736562155
writer_friendliness,11718,53.05034988905957,19.44125258536678,52.0,11694,55.62373866940311,17.954689043417126,53.0,2.5733887803435422
writer_openness,11718,36.75405359276327,25.11008991190596,34.0,11694,34.317855310415595,25.532923346500084,31.0,-2.436198282347675
paragraph_hope,11718,39.50153609831029,24.41909807162379,40.0,11694,47.14759705832051,24.07949086663983,50.0,7.646060960010217
paragraph_excitement,11718,26.067076292882746,22.56544308175573,22.0,11694,30.42201128783992,23.873254892840365,28.0,4.354934994957173
paragraph_fear,11718,33.34988905956648,26.56883192082254,30.0,11694,32.74884556182658,25.843835228717367,30.0,-0.6010434977399015
paragraph_disgust,11718,28.13978494623656,27.1198413091053,20.0,11694,24.157431161279288,25.12428895707099,15.0,-3.9823537849572723
paragraph_anger,11718,30.081242532855438,27.693100169012467,23.0,11694,26.490850008551394,25.791148027869507,19.0,-3.5903925243040433
writer_affect_x,11718,41.520034988905955,22.38415603349569,42.67,11694,46.093201641867616,22.040017780052285,48.61,4.57316665296166
writer_affect_y,11718,43.4757757296467,19.44519894592187,45.07,11694,40.294751154438174,18.316693668103515,41.17,-3.181024575208525
