variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
paragraph_formality,9576,43.36654135338346,26.25609851296792,43.0,9526,69.13520890195255,20.812553880968544,72.0,25.76866754856909
paragraph_clarity,9576,68.55753968253968,26.238548755550116,74.0,9526,80.98687801805585,20.100156982848294,86.0,12.429338335516164
paragraph_informativeness,9576,42.05148287385129,27.23121312089938,42.0,9526,62.687486878018056,24.119689843694005,67.0,20.636004004166765
paragraph_originality,9576,35.66896407685881,24.996573375867065,33.0,9526,46.613478899853035,24.90098571726149,50.0,10.944514822994222
paragraph_relevance,9576,71.73015873015873,23.958926407202977,76.0,9526,82.5280285534327,18.550265164608696,88.0,10.79786982327397
writer_knowledge,9576,54.66812865497076,24.802853606703426,58.0,9526,71.01396178878858,20.58017582696965,75.0,16.34583313381782
writer_importance,9576,63.58897243107769,24.08499786681022,67.0,9526,73.1907411295402,20.459391758180676,76.0,9.601768698462507
writer_confidence,9576,68.49738930659983,24.990349959430244,73.0,9526,78.60119672475331,20.49683144671637,84.0,10.10380741815348
writer_stance_polarity,9576,62.078111946533,33.919711025580725,70.0,9526,69.00734830988873,32.18955257654318,80.0,6.929236363355727
paragraph_hope,9576,39.438700918964074,24.42007909319616,40.0,9526,47.04524459374344,24.094040385708386,50.0,7.606543674779367
paragraph_excitement,9576,25.992376775271513,22.50770090088772,22.0,9526,30.344110854503466,23.86254602608725,28.0,4.351734079231953
paragraph_fear,9576,33.2390350877193,26.472508719013515,29.0,9526,32.78437959269368,25.845791659928704,30.0,-0.4546554950256194
paragraph_disgust,9576,27.931495405179614,26.840994057278333,20.0,9526,24.25887045979425,25.113917099246724,16.0,-3.6726249453853654
paragraph_anger,9576,29.88659147869674,27.488085885044615,23.0,9526,26.627860592063826,25.863197062401138,19.0,-3.2587308866329145
writer_affect_x,9576,41.55091165413534,22.321437292271767,42.67,9526,46.00598047449086,22.163669843069417,48.5,4.455068820355521
writer_affect_y,9576,43.68375730994152,19.41549310614533,45.36,9526,40.1480736930506,18.260730619738144,40.97,-3.535683616890921
writer_optimism,9576,44.68389724310777,22.24787056892604,48.0,9526,52.066659668276294,21.395284076030187,51.0,7.382762425168522
writer_community,9576,58.63262322472849,23.568234515398125,60.0,9526,65.35219399538106,22.19970771164492,68.0,6.719570770652567
writer_friendliness,9576,52.89922723475355,19.283336748736552,52.0,9526,55.49800545874449,17.97931579750247,52.0,2.5987782239909336
writer_openness,9576,36.65110693400167,24.9414590796128,34.0,9526,33.99706067604451,25.40243218499507,30.0,-2.6540462579571553
