variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
paragraph_formality,11718,43.932070319167096,26.21143851617349,44.0,11687,69.14238042269189,20.70659865130848,72.0,25.21031010352479
paragraph_clarity,11718,68.86175115207374,26.166717599162933,75.0,11687,80.95405151022504,20.166244559124824,86.0,12.092300358151306
paragraph_informativeness,11718,42.58090117767537,27.2449132014725,43.0,11687,62.59801488833747,24.174205658759956,67.0,20.017113710662095
paragraph_originality,11718,35.9031404676566,24.967397132168472,33.0,11687,46.711217592196455,24.81190986349596,50.0,10.808077124539857
paragraph_relevance,11718,72.07083119986346,23.887129702911647,76.0,11687,82.50534782236673,18.63316623964964,88.0,10.434516622503267
writer_knowledge,11718,55.00708311998635,24.868513854226038,58.0,11687,70.91007101908103,20.627326695250503,75.0,15.902987899094683
writer_importance,11718,63.86396996074416,24.104703133659466,67.0,11687,73.07221699324035,20.481732674277175,76.0,9.208247032496189
writer_confidence,11718,68.60914831882573,25.023617587555883,73.0,11687,78.35834688115,20.840217629023645,83.0,9.749198562324267
writer_stance_polarity,11718,61.82130056323605,34.085722232821915,70.0,11687,68.80397022332507,32.28022876690435,80.0,6.982669660089016
paragraph_hope,11718,39.50153609831029,24.41909807162379,40.0,11687,46.977325233165054,24.008803421328825,50.0,7.4757891348547645
paragraph_excitement,11718,26.067076292882746,22.56544308175573,22.0,11687,30.255411996235132,23.773163929599722,28.0,4.1883357033523865
paragraph_fear,11718,33.34988905956648,26.56883192082254,30.0,11687,32.400701634294514,25.726557655548508,29.0,-0.9491874252719654
paragraph_disgust,11718,28.13978494623656,27.1198413091053,20.0,11687,23.960468897065116,25.019830807775346,15.0,-4.179316049171444
paragraph_anger,11718,30.081242532855438,27.693100169012467,23.0,11687,26.317275605373492,25.711300744436155,19.0,-3.7639669274819454
writer_affect_x,11718,41.520034988905955,22.38415603349569,42.67,11687,46.151339094720626,21.991229932329958,48.67,4.631304105814671
writer_affect_y,11718,43.4757757296467,19.44519894592187,45.07,11687,40.406225720886454,18.227126978288197,41.36,-3.0695500087602454
writer_optimism,11718,44.692438982761566,22.231427534895268,48.0,11687,52.23590314024129,21.305473675648656,51.0,7.543464157479725
writer_community,11718,59.02432155657962,23.519546688130603,61.0,11687,65.48780696500386,22.19090465869963,68.0,6.4634854084242335
writer_friendliness,11718,53.05034988905957,19.44125258536678,52.0,11687,55.6443056387439,17.842202916309077,52.0,2.5939557496843335
writer_openness,11718,36.75405359276327,25.11008991190596,34.0,11687,34.27808676307008,25.388543603969367,31.0,-2.475966829693192
