variable,variable_type,p_raw,p_bonferroni,sig
paragraph_formality,scale,0.0,0.0,***
paragraph_clarity,scale,0.0,0.0,***
paragraph_informativeness,scale,0.0,0.0,***
paragraph_originality,scale,0.0,0.0,***
paragraph_relevance,scale,0.0,0.0,***
writer_knowledge,scale,0.0,0.0,***
writer_importance,scale,0.0,0.0,***
writer_confidence,scale,0.0,0.0,***
writer_stance_polarity,scale,2.521968596959895e-89,7.313708931183695e-88,***
writer_optimism,scale,0.0,0.0,***
writer_community,scale,6.550625220038626e-308,1.8996813138112016e-306,***
writer_friendliness,scale,2.4658055769873624e-131,7.1508361732633515e-130,***
writer_openness,scale,0.0604992677648233,1.0,
paragraph_hope,scale,0.0,0.0,***
paragraph_excitement,scale,1.3093153348459686e-152,3.797014471053309e-151,***
paragraph_fear,scale,2.5068966834659884e-10,7.270000382051366e-09,***
paragraph_disgust,scale,4.428172900728526e-143,1.2841701412112726e-141,***
paragraph_anger,scale,1.9486664053077483e-127,5.65113257539247e-126,***
writer_affect_x,scale,3.8312690907639984e-223,1.1110680363215594e-221,***
writer_affect_y,scale,3.505495055862748e-81,1.0165935662001968e-79,***
writer_education,categorical,0.0,0.0,***
writer_english_skills,categorical,0.0,0.0,***
writer_income,categorical,0.0,0.0,***
writer_politicalParty,categorical,0.0,0.0,***
writer_age_binned,categorical,4.6691207165229354e-234,1.3540450077916513e-232,***
writer_english_first,categorical,0.0,0.0,***
writer_politicalIdeology,categorical,1.1372424444196726e-72,3.2980030888170505e-71,***
writer_gender,categorical,1.7234707656193604e-07,4.998065220296145e-06,***
writer_race,categorical,1.1916829376212176e-09,3.455880519101531e-08,***
