variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
paragraph_formality,45082,44.398496073821036,26.58830071103666,45.0,45063,67.7221223620265,22.062546215297477,70.0,23.32362628820546
paragraph_clarity,45082,69.88181535867975,25.832229946245832,75.0,45063,80.4323502651843,21.010546584239158,86.0,10.550534906504552
paragraph_informativeness,45082,42.92921786965973,27.417522285102237,44.0,45063,61.67134900028849,25.040282082026653,66.0,18.742131130628756
paragraph_originality,45082,35.78397142983896,25.070020218376577,33.0,45063,45.81008809888378,25.231518958070634,49.0,10.026116669044825
paragraph_relevance,45082,72.83150703163125,23.3903571366241,77.0,45063,82.29523112087521,18.95151845101877,88.0,9.463724089243968
writer_knowledge,45082,56.208508939266224,24.48700486651687,59.0,45063,70.97277145329872,20.590695327453655,75.0,14.764262514032495
writer_importance,45082,65.52439998225456,23.315820967232654,69.0,45063,73.90244768435302,20.151030406728495,77.0,8.378047702098456
writer_confidence,45082,70.37449536400337,23.917863707195895,75.0,45063,78.28242682466768,20.493806541487242,83.0,7.907931460664315
writer_stance_polarity,45082,63.86571137039173,33.140007359191564,72.0,45063,68.26389721057187,32.682612515729375,80.0,4.39818584018014
writer_optimism,45082,44.31892994986913,22.730790975948125,48.0,45063,51.556864833677295,21.839439575818677,51.0,7.237934883808165
writer_community,45082,58.254513996717094,24.376702717479237,60.0,45063,64.21398930386349,23.123006220025623,67.0,5.959475307146391
writer_friendliness,45082,52.23435073865401,20.106936163652083,51.0,45063,55.38989858642345,18.65445325861368,52.0,3.1555478477694408
writer_openness,45082,34.98032474158201,24.956004209280067,32.0,45063,34.66358209617646,25.699624174618933,31.0,-0.3167426454055473
paragraph_hope,45082,39.53682179140233,24.92365636429885,40.0,45063,47.080354170827505,24.58947571352145,50.0,7.543532379425173
paragraph_excitement,45082,26.48396255711814,22.997125720800614,22.0,45063,30.63247009741917,24.228716234597922,27.0,4.148507540301029
paragraph_fear,45082,34.80267068896677,27.124181560289003,31.0,45063,33.676918980094534,26.28854411894352,30.0,-1.1257517088722366
paragraph_disgust,45082,29.217448205492214,27.627473401602135,21.0,45063,24.70849699309855,25.384447498272202,16.0,-4.508951212393665
paragraph_anger,45082,31.70453839669935,28.17922831128483,25.0,45063,27.343030867896058,26.227550652457033,20.0,-4.3615075288032905
writer_affect_x,45082,40.693533117430455,23.175278460834242,41.0,45063,45.64340700796663,23.29757386522169,48.13,4.949873890536175
writer_affect_y,45082,42.7982640521716,19.87987595514473,44.36,45063,40.34052127022169,18.733127706752466,41.67,-2.4577427819499036
