variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
paragraph_formality,37995,43.73154362416108,26.536297284349295,44.0,37977,67.83534771045633,21.974028940872177,70.0,24.103804086295256
paragraph_clarity,37995,69.61068561652849,25.919777183260475,75.0,37977,80.65544935092292,20.806570619511607,87.0,11.044763734394436
paragraph_informativeness,37995,42.32685879721016,27.30530467961902,42.0,37977,61.907364984069304,24.884815813859003,66.0,19.580506186859147
paragraph_originality,37995,35.40434267666798,25.030393212928324,32.0,37977,45.94994338678674,25.19643484089036,49.0,10.545600710118762
paragraph_relevance,37995,72.6333464929596,23.46736336907426,77.0,37977,82.4589620033178,18.774241609067285,88.0,9.82561551035819
writer_knowledge,37995,55.728358994604555,24.51482755062543,59.0,37977,71.10253574531954,20.548339892186657,75.0,15.374176750714987
writer_importance,37995,65.1770232925385,23.409416316138998,68.0,37977,74.04407931116202,20.0531223953176,77.0,8.86705601862353
writer_confidence,37995,70.10472430582972,24.048549742057038,75.0,37977,78.39460726229034,20.48176241245123,83.0,8.289882956460616
writer_stance_polarity,37995,63.90372417423345,33.128177178223915,72.0,37977,68.56513152697686,32.6289711200114,80.0,4.661407352743403
writer_optimism,37995,44.17570732991183,22.756003251871743,48.0,37977,51.60141664691787,21.82738144825252,51.0,7.425709317006039
writer_community,37995,58.06277141729175,24.368152280364413,60.0,37977,64.21884298391132,23.069051119371046,67.0,6.156071566619566
writer_friendliness,37995,52.18960389524938,20.10579881815673,51.0,37977,55.47146957368934,18.608206809970106,52.0,3.2818656784399636
writer_openness,37995,35.033162258191865,24.950579259169032,32.0,37977,34.663032888327145,25.766725284160366,31.0,-0.37012936986472056
paragraph_hope,37995,39.317225950783,24.910890025230195,40.0,37977,47.16799641888512,24.58017527197645,50.0,7.8507704681021195
paragraph_excitement,37995,26.3579418344519,23.002469359792507,22.0,37977,30.731864022961265,24.21027939273577,28.0,4.373922188509365
paragraph_fear,37995,34.8,27.140808728686093,31.0,37977,33.76741185454354,26.31367183800164,30.0,-1.032588145456458
paragraph_disgust,37995,29.176918015528358,27.639026685142262,21.0,37977,24.754324986175842,25.421247644277507,16.0,-4.422593029352516
paragraph_anger,37995,31.62552967495723,28.186804028865527,25.0,37977,27.35439871501172,26.224521751035525,20.0,-4.271130959945513
writer_affect_x,37995,40.66306277141729,23.214607533383433,40.89,37977,45.6775764278379,23.310058223684774,48.17,5.014513656420611
writer_affect_y,37995,42.909190682984594,19.955877166240068,44.53,37977,40.28536851252073,18.749093756252247,41.64,-2.6238221704638605
