variable,variable_type,p_raw,p_bonferroni,sig
paragraph_formality,scale,0.0,0.0,***
paragraph_clarity,scale,0.0,0.0,***
paragraph_informativeness,scale,0.0,0.0,***
paragraph_originality,scale,0.0,0.0,***
paragraph_relevance,scale,0.0,0.0,***
writer_knowledge,scale,0.0,0.0,***
writer_importance,scale,0.0,0.0,***
writer_confidence,scale,0.0,0.0,***
writer_stance_polarity,scale,8.371972428337455e-85,2.427872004217862e-83,***
writer_optimism,scale,0.0,0.0,***
writer_community,scale,1.1085938762370737e-277,3.2149222410875137e-276,***
writer_friendliness,scale,3.8143992312731804e-120,1.1061757770692223e-118,***
writer_openness,scale,0.0443024808793602,1.0,
paragraph_hope,scale,0.0,0.0,***
paragraph_excitement,scale,4.0347326569421667e-143,1.1700724705132284e-141,***
paragraph_fear,scale,1.0192563341644023e-07,2.955843369076767e-06,***
paragraph_disgust,scale,3.3646294288581573e-116,9.757425343688657e-115,***
paragraph_anger,scale,2.283842189626334e-103,6.623142349916368e-102,***
writer_affect_x,scale,7.781956804513205e-193,2.2567674733088294e-191,***
writer_affect_y,scale,1.1588274438555226e-77,3.360599587181015e-76,***
writer_education,categorical,0.0,0.0,***
writer_english_skills,categorical,0.0,0.0,***
writer_income,categorical,0.0,0.0,***
writer_politicalParty,categorical,0.0,0.0,***
writer_age_binned,categorical,5.379824885301575e-217,1.5601492167374567e-215,***
writer_english_first,categorical,0.0,0.0,***
writer_politicalIdeology,categorical,1.8803786379945824e-62,5.453098050184289e-61,***
writer_gender,categorical,2.765932965103781e-07,8.021205598800966e-06,***
writer_race,categorical,2.0346010339904057e-08,5.900342998572176e-07,***
