variable,writer_n,writer_mean,writer_std,writer_median,model_n,model_mean,model_std,model_median,mean_diff
writer_knowledge,45082,56.208508939266224,24.48700486651687,59.0,45030,71.30779480346436,20.42143424590983,75.0,15.099285864198137
writer_importance,45082,65.52439998225456,23.315820967232654,69.0,45030,74.0903841883189,20.087336312009725,77.0,8.565984206064329
writer_confidence,45082,70.37449536400337,23.917863707195895,75.0,45030,78.40801687763712,20.414781338960562,83.0,8.033521513633758
writer_stance_polarity,45082,63.86571137039173,33.140007359191564,72.0,45030,68.30752831445703,32.663779666760334,80.0,4.441816944065302
paragraph_formality,45082,44.398496073821036,26.58830071103666,45.0,45030,68.24623584277148,21.787611890985666,71.0,23.847739768950447
paragraph_clarity,45082,69.88181535867975,25.832229946245832,75.0,45030,80.64268265600711,20.838739258821743,87.0,10.760867297327366
paragraph_informativeness,45082,42.92921786965973,27.417522285102237,44.0,45030,62.18092382855874,24.80298215214506,66.0,19.25170595889901
paragraph_originality,45082,35.78397142983896,25.070020218376577,33.0,45030,46.229269375971576,25.213784902283823,49.0,10.44529794613262
paragraph_relevance,45082,72.83150703163125,23.3903571366241,77.0,45030,82.50084388185654,18.731220858070866,88.0,9.669336850225292
writer_optimism,45082,44.31892994986913,22.730790975948125,48.0,45030,51.78767488341106,21.746354353805575,51.0,7.468744933541927
writer_community,45082,58.254513996717094,24.376702717479237,60.0,45030,64.48660892738175,23.026608236397546,67.0,6.232094930664658
writer_friendliness,45082,52.23435073865401,20.106936163652083,51.0,45030,55.592116366866534,18.55042016699798,52.0,3.357765628212526
writer_openness,45082,34.98032474158201,24.956004209280067,32.0,45030,34.691605596269156,25.834900815245824,31.0,-0.2887191453128537
paragraph_hope,45082,39.53682179140233,24.92365636429885,40.0,45030,47.333222296246944,24.488030978087817,50.0,7.7964005048446126
paragraph_excitement,45082,26.48396255711814,22.997125720800614,22.0,45030,30.73486564512547,24.23108579256326,28.0,4.25090308800733
paragraph_fear,45082,34.80267068896677,27.124181560289003,31.0,45030,33.71661114812348,26.267510643595983,30.0,-1.0860595408432943
paragraph_disgust,45082,29.217448205492214,27.627473401602135,21.0,45030,24.62633799689096,25.328505812025867,16.0,-4.591110208601254
paragraph_anger,45082,31.70453839669935,28.17922831128483,25.0,45030,27.161692205196534,26.096981178622297,19.0,-4.542846191502814
writer_affect_x,45082,40.693533117430455,23.175278460834242,41.0,45030,45.88814812347324,23.2917756560307,48.33,5.194615006042788
writer_affect_y,45082,42.7982640521716,19.87987595514473,44.36,45030,40.2245864978903,18.732186354263128,41.54,-2.5736775542812964
