term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Female,Male,1.0580393161393211,0.9308730276411198,1.202577753631233,0.8635563035293092,0.3878316770920099,0.3878316770920099,0.014730953613905624
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,Male,1.1971946921988665,0.6943153448013751,2.0642999492387135,0.6474969641975543,0.5173103586575815,0.5173103586575815,0.014730953613905624
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Female,Male,1.0199885627385472,0.893907847532756,1.163852259479492,0.2939972356059277,0.7687600157458501,0.7687600157458501,0.005606675622563262
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Other,Male,0.8352213086173763,0.43513236837138225,1.6031779869180653,-0.5412417412426315,0.5883409702284181,0.5883409702284181,0.005606675622563262
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Female,Male,0.9189020394620514,0.8109220031507282,1.0412603861367542,-1.3260667556147876,0.18481758661166192,0.18481758661166192,0.021843379270621695
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Other,Male,1.3228093828909897,0.8087440947745237,2.1636320744354722,1.114413121092143,0.265101996888562,0.265101996888562,0.021843379270621695
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Female,Male,1.13465256967958,0.9990979281716655,1.2885988626124607,1.9460970451543345,0.05164308347718951,0.05164308347718951,0.031653551094758876
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Other,Male,1.2274785325936857,0.7117741716540671,2.1168280726975137,0.7371699650598488,0.4610189959437188,0.4610189959437188,0.031653551094758876
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Female,Male,0.9255650223022084,0.8142727290076521,1.0520684041000676,-1.1834275268582721,0.23663975324688732,0.23663975324688732,0.018742236013382395
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Other,Male,1.0340463307644985,0.590108852657973,1.8119569115958698,0.1169847102986296,0.9068721696955754,0.9068721696955754,0.018742236013382395
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Female,Male,1.1080236902797906,0.9700843960486689,1.2655769984776162,1.5122418665309636,0.1304723439240673,0.1304723439240673,0.025130965708998414
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Other,Male,0.9794311935691592,0.5242295301385377,1.8298958906088298,-0.0651719815007889,0.9480370692122716,0.9480370692122716,0.025130965708998414
model_and_mitigation_openai/chatgpt-4o-latest__none,Female,Male,0.924772097807523,0.8132644676752959,1.0515686678503402,-1.1929833321320493,0.23287590089418864,0.23287590089418864,0.018976861694183077
model_and_mitigation_openai/chatgpt-4o-latest__none,Other,Male,1.040380421724749,0.59370463000165,1.823114335330615,0.1383154705563289,0.889991099291389,0.889991099291389,0.018976861694183077
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Female,Male,1.2803603351273156,1.1270922772731897,1.454470606198631,3.7991824908547587,1.4517416856324447e-4,1.4517416856324447e-4,0.06234273014340272
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Other,Male,0.7020088891862637,0.3409630540512377,1.4453662197150388,-0.9602506228954351,0.33692909444100055,0.33692909444100055,0.06234273014340272
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Female,Male,1.0563996329307552,0.9212473839021559,1.2113794882426072,0.7855643878443065,0.43212273475276336,0.43212273475276336,0.013711752308765389
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Other,Male,0.9243115108041378,0.48128612348538524,1.7751431577082877,-0.23638835776693065,0.8131313293924186,0.8131313293924186,0.013711752308765389
