term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Moderately Left-Wing,Centrist,1.1019711995887367,0.9304945910323702,1.305048451034784,1.1252074490665482,0.260501137306574,0.260501137306574,0.05888563410002787
model_and_mitigation_anthropic/claude-sonnet-4__none,Moderately Right-Wing,Centrist,1.1732380638687254,0.9758551729434567,1.4105449176014075,1.6999440537129469,0.08914144941088954,0.08914144941088954,0.05888563410002787
model_and_mitigation_anthropic/claude-sonnet-4__none,Very Left-Wing,Centrist,1.7447808019281161,1.425960335683162,2.1348840992259777,5.406750833311615,6.417832640153823e-8,6.417832640153823e-8,0.05888563410002787
model_and_mitigation_anthropic/claude-sonnet-4__none,Very Right-Wing,Centrist,1.2074694990628738,0.8858317306595969,1.645891133388869,1.1929185461448875,0.23290127507131467,0.23290127507131467,0.05888563410002787
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Moderately Left-Wing,Centrist,1.1021055095524583,0.931123262239556,1.304485242119734,1.130318833697627,0.2583419013738753,0.2583419013738753,0.027548337672288373
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Moderately Right-Wing,Centrist,1.0727534411344357,0.8889158451069441,1.294610678615277,0.732243648978632,0.464019867002339,0.464019867002339,0.027548337672288373
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Very Left-Wing,Centrist,1.2804505481386954,1.028687399559699,1.593830746765685,2.213214744933597,0.026882844015881938,0.026882844015881938,0.027548337672288373
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Very Right-Wing,Centrist,0.9790864616173636,0.7006770355326449,1.3681200477673527,-0.12381527615185357,0.9014615362674773,0.9014615362674773,0.027548337672288373
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Moderately Left-Wing,Centrist,1.0344786639256722,0.883804119865222,1.2108408210188457,0.42205801579435587,0.6729826716297618,0.6729826716297618,0.022838577583916435
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Moderately Right-Wing,Centrist,1.1412631400375952,0.9625186828078263,1.3532013228137216,1.5204282898125099,0.128403368903523,0.128403368903523,0.022838577583916435
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Very Left-Wing,Centrist,1.022656444249182,0.8236803349923829,1.2696991278467895,0.20293830923562764,0.8391832508023471,0.8391832508023471,0.022838577583916435
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Very Right-Wing,Centrist,0.7741349313712579,0.5524487345359851,1.0847791921770549,-1.4872534449524317,0.1369478852933357,0.1369478852933357,0.022838577583916435
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Moderately Left-Wing,Centrist,1.025555341640049,0.8723407244797056,1.2056799932087843,0.3056629460430554,0.7598612885749711,0.7598612885749711,0.023520425665231208
