term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Asian,White,0.6233941791231342,0.4643074252546972,0.8369892046232679,-3.143748809902421,0.0016679855003253498,0.0016679855003253498,0.022078788673006423
model_and_mitigation_anthropic/claude-sonnet-4__none,Black,White,0.9888487199054684,0.7848212051305142,1.245916629757823,-0.09511325166073106,0.9242248724929673,0.9242248724929673,0.022078788673006423
model_and_mitigation_anthropic/claude-sonnet-4__none,Mixed,White,1.0043287333556643,0.7881586248981787,1.2797883227809668,0.03492933075923211,0.9721360923144725,0.9721360923144725,0.022078788673006423
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,White,0.9261371486932846,0.6367431888572276,1.3470580183654697,-0.4014258659819463,0.6881066088387766,0.6881066088387766,0.022078788673006423
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Asian,White,0.8589092878149205,0.6560328995007596,1.1245246469439902,-1.1063188838353013,0.26858852110057785,0.26858852110057785,0.021213214655128074
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Black,White,0.8194928962724245,0.6336621063370292,1.0598213153743108,-1.517192944561737,0.129217977132218,0.129217977132218,0.021213214655128074
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Mixed,White,0.9496048627486446,0.7352914836307656,1.2263835709114446,-0.3962415606503292,0.6919268341250323,0.6919268341250323,0.021213214655128074
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Other,White,1.2394409756730014,0.8729691627178932,1.7597573863828235,1.2003306184849027,0.23001096291525425,0.23001096291525425,0.021213214655128074
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Asian,White,0.8074278116927975,0.6242199197496912,1.0444070278251358,-1.6290876220329382,0.10329447118583976,0.10329447118583976,0.02545481784567307
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Black,White,0.8251578380224258,0.6503902475765605,1.0468875574117427,-1.5826495808739276,0.1135013560471552,0.1135013560471552,0.02545481784567307
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Mixed,White,0.9098005099160833,0.7139944331077971,1.1593045119983387,-0.7645079616694377,0.4445645939493875,0.4445645939493875,0.02545481784567307
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Other,White,1.0542319735527816,0.7515187531123396,1.4788786699709358,0.30582335240240194,0.7597391471552826,0.7597391471552826,0.02545481784567307
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Asian,White,0.7213768056172628,0.5510873173831943,0.9442868294512407,-2.377270044672019,0.01744131414325024,0.01744131414325024,0.042867515843443324
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Black,White,0.7094973461931052,0.551441456755933,0.9128557131275983,-2.6690986150652742,0.0076055116353556905,0.0076055116353556905,0.042867515843443324
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Mixed,White,0.8895167404205369,0.6954050746289472,1.137811701921452,-0.9321117662657312,0.3512787678665925,0.3512787678665925,0.042867515843443324
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Other,White,0.7065747172030031,0.46184322718837667,1.080989828582829,-1.601020853106046,0.10937230053278123,0.10937230053278123,0.042867515843443324
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Asian,White,0.7553387203846276,0.5780078524594726,0.9870741030326922,-2.055298720036959,0.039850160884709926,0.039850160884709926,0.022908157073049967
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Black,White,0.9069074499402644,0.7194902175248705,1.1431442745484202,-0.827314218441636,0.40805898687059516,0.40805898687059516,0.022908157073049967
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Mixed,White,0.9271383909974892,0.7260937207812794,1.183849372965925,-0.6066463529023972,0.5440856315917622,0.5440856315917622,0.022908157073049967
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Other,White,0.9140354798088137,0.6215538303598013,1.344148837222517,-0.456833334343769,0.647790844099907,0.647790844099907,0.022908157073049967
