term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Female,Male,1.1282503326593158,1.0042147171524263,1.26760621150371,2.03078250460394,0.04227706256011934,0.04227706256011934,0.029001748669157248
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,Male,1.0549381927054247,0.6347431843463344,1.753299000090342,0.20634167345963314,0.8365240281557109,0.8365240281557109,0.029001748669157248
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Female,Male,1.0603484372290606,0.9395430171857989,1.1966868868887224,0.9495035848180414,0.34236454963835156,0.34236454963835156,0.014205170333565498
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Other,Male,1.0511569087730848,0.623689451659027,1.771604191673032,0.18733372472271784,0.8513989825102658,0.8513989825102658,0.014205170333565498
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Female,Male,0.9118142946958939,0.8136250443714117,1.0218531420134631,-1.588119374569237,0.11225934799962627,0.11225934799962627,0.021861506965371185
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Other,Male,0.9875252895152461,0.6091446693463518,1.6009434975087682,-0.0509249851534135,0.9593852960634704,0.9593852960634704,0.021861506965371185
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Female,Male,1.0825230942311785,0.9631482388678029,1.2166935496049724,1.3301435954021408,0.18347096408692334,0.18347096408692334,0.01956847840153014
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Other,Male,0.9266185700169155,0.5418182006583705,1.5847049310209043,-0.2783727184866692,0.7807262596615532,0.7807262596615532,0.01956847840153014
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Female,Male,0.9800966979265783,0.8709519178166337,1.102919136678244,-0.33374919044156265,0.7385688271305673,0.7385688271305673,0.004891405559540316
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Other,Male,1.0145535524069513,0.6106994900313416,1.6854753074195934,0.05579086739952633,0.9555084103730254,0.9555084103730254,0.004891405559540316
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Female,Male,1.012649906640767,0.8991924471684559,1.1404230947987968,0.2073429568602667,0.835742028271514,0.835742028271514,0.0030643109528220693
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Other,Male,0.9917227696125077,0.5887198904136313,1.670597626787999,-0.031238930447512584,0.97507899304624,0.97507899304624,0.0030643109528220693
model_and_mitigation_openai/chatgpt-4o-latest__none,Female,Male,0.9457043368080111,0.8402221151789652,1.0644288891003357,-0.9252000929775637,0.35486183515733677,0.35486183515733677,0.01449513017966799
model_and_mitigation_openai/chatgpt-4o-latest__none,Other,Male,0.8221921180026155,0.4728717173611923,1.4295629323698367,-0.6937199155279092,0.487857873972586,0.487857873972586,0.01449513017966799
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Female,Male,1.2924141437270076,1.1537030242959618,1.4478026699504603,4.4282630170847455,9.499501720342489e-6,9.499501720342489e-6,0.064132266925728
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Other,Male,0.7652220245267402,0.42275160018070473,1.3851272155339065,-0.8838751656019952,0.3767636046708546,0.3767636046708546,0.064132266925728
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Female,Male,1.082271409039431,0.9593604406862344,1.2209294371011916,1.285449750562523,0.19863516553198873,0.19863516553198873,0.019506992077371953
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Other,Male,0.9275053261063132,0.5331319576743878,1.613608258841217,-0.266381322236781,0.7899455484189654,0.7899455484189654,0.019506992077371953
