term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
mitigation_condition_none,Asian,White,0.7949608083959461,0.6835849997440971,0.9244829642577205,-2.9796014383530127,0.0028862364939238553,0.0028862364939238553,0.022026545422100453
mitigation_condition_none,Black,White,0.8243692492188067,0.7186079279691804,0.9456960222775682,-2.757033605632191,0.005832835657923991,0.005832835657923991,0.022026545422100453
mitigation_condition_none,Mixed,White,0.8917953207345188,0.7728615201853977,1.0290315578050817,-1.5681263459952879,0.1168516491154201,0.1168516491154201,0.022026545422100453
mitigation_condition_none,Other,White,0.8157677793448215,0.6495869610632077,1.0244618653181794,-1.7520558180054109,0.07976421040371338,0.07976421040371338,0.022026545422100453
mitigation_condition_prompting,Asian,White,0.8416923643139511,0.7254469244359715,0.9765649453889677,-2.2727264006863956,0.0230426726712055,0.0230426726712055,0.018780361790830567
mitigation_condition_prompting,Black,White,0.8134363344599397,0.708457620207469,0.9339707151796218,-2.9289570256471493,0.003401014400619498,0.003401014400619498,0.018780361790830567
mitigation_condition_prompting,Mixed,White,0.9026213783090361,0.7819815224970812,1.0418728948720717,-1.399618351494789,0.1616276355292005,0.1616276355292005,0.018780361790830567
mitigation_condition_prompting,Other,White,0.89364900541836,0.7135374707569775,1.1192243962156554,-0.9791564051612084,0.32750270520790153,0.32750270520790153,0.018780361790830567
mitigation_condition_reranking,Asian,White,0.7493190698822435,0.6426582451191882,0.8736821985144808,-3.6836894741976343,2.2988226372622566e-4,2.2988226372622566e-4,0.020263542728008697
mitigation_condition_reranking,Black,White,0.8776214638347132,0.7671076879072655,1.0040564655069593,-1.901045413783936,0.057296064463016445,0.057296064463016445,0.020263542728008697
mitigation_condition_reranking,Mixed,White,0.9696475303430468,0.8429222748838421,1.1154247089151077,-0.43133868771158673,0.6662221238495714,0.6662221238495714,0.020263542728008697
mitigation_condition_reranking,Other,White,0.7428218314806497,0.586189493758355,0.941306999186391,-2.4606160749564414,0.013869869807681926,0.013869869807681926,0.020263542728008697
