attribute,model,term,ame,ame_low,ame_high,statistic,p,p_bonferroni,significant_bonferroni
writer_knowledge,exploratory_writer_knowledge,writer_knowledge,0.08972397964947805,0.07661564904213504,0.10283231025682106,13.415573190080437,4.901288539036066e-41,9.802577078072131e-40,TRUE
writer_importance,exploratory_writer_importance,writer_importance,0.08921638941879029,0.07526879767080935,0.10316398116677122,12.536996583431138,4.6841393850899093e-36,9.368278770179818e-35,TRUE
writer_confidence,exploratory_writer_confidence,writer_confidence,0.11276304716159749,0.0989601858243509,0.12656590849884408,16.01200691825613,1.0535592843798692e-57,2.1071185687597386e-56,TRUE
writer_stance_polarity,exploratory_writer_stance_polarity,writer_stance_polarity,0.08885118176368442,0.0795254782379909,0.09817688528937794,18.67367065239112,8.108363566279373e-78,1.6216727132558746e-76,TRUE
paragraph_formality,exploratory_paragraph_formality,paragraph_formality,0.08339207466881832,0.0696173089625588,0.09716684037507783,11.865571177931978,1.786788956894349e-32,3.573577913788698e-31,TRUE
paragraph_clarity,exploratory_paragraph_clarity,paragraph_clarity,0.12423947203460552,0.10989961104883637,0.13857933302037467,16.980979863595042,1.1357392385362245e-64,2.271478477072449e-63,TRUE
paragraph_informativeness,exploratory_paragraph_informativeness,paragraph_informativeness,0.08929640463074577,0.07599072165582507,0.10260208760566647,13.153607924904012,1.6224411961368124e-39,3.244882392273625e-38,TRUE
paragraph_originality,exploratory_paragraph_originality,paragraph_originality,0.11317357031538357,0.09503329545000339,0.13131384518076375,12.227825844209686,2.2076871553095504e-34,4.4153743106191004e-33,TRUE
paragraph_relevance,exploratory_paragraph_relevance,paragraph_relevance,0.12022992977477281,0.10368690727183907,0.13677295227770656,14.24445455360681,4.853224614458787e-46,9.706449228917574e-45,TRUE
writer_optimism,exploratory_writer_optimism,writer_optimism,0.008345394544784158,-0.007368929702509276,0.024059718792077592,1.0408766223193584,0.29793281283253825,1,FALSE
writer_community,exploratory_writer_community,writer_community,0.023513628300815964,0.007571091487798973,0.03945616511383296,2.890748514868235,0.0038432553140689122,0.07686510628137824,FALSE
writer_friendliness,exploratory_writer_friendliness,writer_friendliness,-0.014099164604765861,-0.03209330664580703,0.0038949774362753067,-1.535713943705429,0.12460855372061236,1,FALSE
writer_openness,exploratory_writer_openness,writer_openness,-0.08584554789391129,-0.10004924984849861,-0.07164184593932396,-11.845797852075723,2.2625474062998628e-32,4.525094812599726e-31,TRUE
paragraph_hope,exploratory_paragraph_hope,paragraph_hope,-0.004806774879637232,-0.019566993554975976,0.009953443795701511,-0.6382768340432201,0.5232934892455279,1,FALSE
paragraph_excitement,exploratory_paragraph_excitement,paragraph_excitement,0.012942086316362785,-0.007116594434863448,0.03300076706758902,1.264590796347812,0.20601805401728757,1,FALSE
paragraph_fear,exploratory_paragraph_fear,paragraph_fear,0.019424913930811777,0.003988802342878952,0.0348610255187446,2.4664327858930695,0.013646633757307415,0.2729326751461483,FALSE
paragraph_disgust,exploratory_paragraph_disgust,paragraph_disgust,0.017977319028791308,0.004019328474607337,0.03193530958297528,2.524353179509476,0.011591141170737937,0.23182282341475874,FALSE
paragraph_anger,exploratory_paragraph_anger,paragraph_anger,0.02380777118241885,0.010840743803520349,0.03677479856131735,3.5985405680291933,3.200079383215453e-4,0.006400158766430905,TRUE
writer_affect_x,exploratory_writer_affect_x,writer_affect_x,-0.03984375143671799,-0.05530396769400878,-0.02438353517942721,-5.0511788790862635,4.3909162547734e-7,8.7818325095468e-6,TRUE
writer_affect_y,exploratory_writer_affect_y,writer_affect_y,-0.08498973631478408,-0.1065346669631103,-0.06344480566645787,-7.73160169097475,1.0620179055331306e-14,2.1240358110662611e-13,TRUE
