model,random_effects,term,estimate,conf.low,conf.high,statistic,p
secondary_stance_alignment,(1 | reader_id) + (1 | proposition_id),(Intercept),-1.978449871004789,-2.529907253169439,-1.4269924888401395,-7.031713814703333,2.0401192752268785e-12
secondary_stance_alignment,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,0.9561631499938723,0.6050452445740905,1.3072810554136542,5.337367614710019,9.430571198073532e-8
secondary_stance_alignment,(1 | reader_id) + (1 | proposition_id),stance_distance,0.1696515254029845,0.16158727062114872,0.1777157801848203,41.23268531409641,0
secondary_presentation_order,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.21390919561611668,-0.826442457073271,0.3986240658410377,-0.6844596787644779,0.49368494229622517
secondary_presentation_order,(1 | reader_id) + (1 | proposition_id),paragraph_type3human,2.9120029296978593,2.4847175738799803,3.3392882855157384,13.357398720483154,1.0724688534221097e-40
secondary_presentation_order,(1 | reader_id) + (1 | proposition_id),paragraph_type3ai,4.323019488078363,3.8956503999953975,4.7503885761613285,19.82586653401921,1.7808739427795585e-87
secondary_presentation_order,(1 | reader_id) + (1 | proposition_id),presentation_order,0.06550028332218243,-0.044846874733384376,0.17584744137774921,1.1634028329392998,0.24466610068497205
secondary_clear_stance_rq1,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.07773892849309154,-0.6114251560986723,0.45594729911248927,-0.28549640624378125,0.7752638572942606
secondary_clear_stance_rq1,(1 | reader_id) + (1 | proposition_id),paragraph_type3human,3.7105368229186633,3.260632368282756,4.16044127755457,16.164584416297156,8.964036164717832e-59
secondary_clear_stance_rq1,(1 | reader_id) + (1 | proposition_id),paragraph_type3ai,4.989079121919091,4.550235309527476,5.427922934310706,22.28222232801149,5.496215238249858e-110
secondary_clear_stance_rq2,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.07022304675071409,-0.6112365504564674,0.4707904569550392,-0.25440149196521505,0.799185398453268
secondary_clear_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition5human-low,4.937969051572655,4.419069552663208,5.456868550482103,18.6514758988903,1.2283904325735866e-77
secondary_clear_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition5human-high,2.1726359593017373,1.6180243440376216,2.727247574565853,7.6779643890439715,1.6163640688394135e-14
secondary_clear_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition5ai-low,5.090692589410369,4.575811771983464,5.605573406837275,19.378414953331838,1.1740778670583145e-83
secondary_clear_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition5ai-high,4.886972216190955,4.367950383989164,5.4059940483927464,18.454502186447904,4.797653101593984e-76
secondary_movement_toward_stance_rq1,(1 | reader_id) + (1 | proposition_id),(Intercept),2.002318125428054,1.5424788061646542,2.462157444691454,8.534440720983167,1.4083502090642836e-17
secondary_movement_toward_stance_rq1,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.461281232205096,1.154434488186498,1.768127976223694,9.33384056450248,1.0210258650302647e-20
secondary_movement_toward_stance_rq2,(1 | reader_id) + (1 | proposition_id),(Intercept),3.1851640469603124,2.666268819096836,3.7040592748237886,12.030958239100569,2.44308639898603e-33
secondary_movement_toward_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition4human-high,-2.3578667638245037,-2.8127105686710694,-1.9030229589779377,-10.160265761999257,2.9826232201451226e-24
secondary_movement_toward_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition4ai-low,0.29752630623902065,-0.13576721787798102,0.7308198303560223,1.3458332798074555,0.17835629002731365
secondary_movement_toward_stance_rq2,(1 | reader_id) + (1 | proposition_id),condition4ai-high,0.2679742389339717,-0.18737819994239463,0.723326677810338,1.1534359152465614,0.2487315071016078
