attribute,model,term,ame_pence,ame_low_pence,ame_high_pence,statistic,p,p_bonferroni,significant_bonferroni
writer_knowledge,exploratory_writer_knowledge,writer_knowledge,0.05823753473841616,0.044882951871198784,0.07159211760563354,8.547138594339291,1.2617764091005014e-17,2.523552818201003e-16,TRUE
writer_importance,exploratory_writer_importance,writer_importance,0.031007783465584464,0.01695043879512489,0.04506512813604403,4.323301466789407,1.537114635551363e-5,3.074229271102726e-4,TRUE
writer_confidence,exploratory_writer_confidence,writer_confidence,0.019652022649601412,0.005408878672174006,0.033895166627028815,2.704266465158709,0.006845536963365592,0.13691073926731184,FALSE
writer_stance_polarity,exploratory_writer_stance_polarity,writer_stance_polarity,0.014368835415878023,0.005001748976443435,0.023735921855312613,3.0065271733100882,0.0026425043467925733,0.05285008693585147,FALSE
paragraph_formality,exploratory_paragraph_formality,paragraph_formality,0.05332965632013269,0.03868131824474244,0.06797799439552292,7.1355675406593395,9.63886147731654e-13,1.927772295463308e-11,TRUE
paragraph_clarity,exploratory_paragraph_clarity,paragraph_clarity,0.04380310686259576,0.02899393554581451,0.05861227817937701,5.7972529336845335,6.740998449096432e-9,1.3481996898192864e-7,TRUE
paragraph_informativeness,exploratory_paragraph_informativeness,paragraph_informativeness,0.06000289491677694,0.04652293413340961,0.07348285570014426,8.724321598185439,2.6778108784737975e-18,5.355621756947595e-17,TRUE
paragraph_originality,exploratory_paragraph_originality,paragraph_originality,0.05855873766421263,0.039663487396612324,0.07745398793181293,6.074172883477879,1.2462840484944041e-9,2.4925680969888083e-8,TRUE
paragraph_relevance,exploratory_paragraph_relevance,paragraph_relevance,0.07285854533010126,0.05599002508095529,0.08972706557924724,8.465480237972097,2.5509936675033458e-17,5.101987335006692e-16,TRUE
writer_optimism,exploratory_writer_optimism,writer_optimism,0.059370805107482647,0.043724893468488,0.0750167167464773,7.437383159815022,1.0269934818444837e-13,2.0539869636889676e-12,TRUE
writer_community,exploratory_writer_community,writer_community,0.08069362713553571,0.06544046998115628,0.09594678428991513,10.368778172730273,3.4389356802683332e-25,6.877871360536666e-24,TRUE
writer_friendliness,exploratory_writer_friendliness,writer_friendliness,0.08215588078658542,0.06257214378489591,0.10173961778827495,8.222259492454478,1.9970450615163378e-16,3.994090123032676e-15,TRUE
writer_openness,exploratory_writer_openness,writer_openness,0.017658394548709128,0.0029753174288112074,0.03234147166860705,2.357122901259332,0.018417150324174757,0.36834300648349516,FALSE
paragraph_hope,exploratory_paragraph_hope,paragraph_hope,0.057131491396744116,0.042702040516346046,0.07156094227714219,7.760216687995629,8.478440017035051e-15,1.6956880034070102e-13,TRUE
paragraph_excitement,exploratory_paragraph_excitement,paragraph_excitement,0.050012596634005306,0.03052805068252816,0.06949714258548245,5.030801765670515,4.884329607208606e-7,9.768659214417212e-6,TRUE
paragraph_fear,exploratory_paragraph_fear,paragraph_fear,-0.008078349380108797,-0.023028931353988646,0.006872232593771051,-1.0590406358232083,0.2895812736893571,1,FALSE
paragraph_disgust,exploratory_paragraph_disgust,paragraph_disgust,-0.01931966248824206,-0.03282431856169211,-0.005815006414792013,-2.803910182123601,0.005048696735201792,0.10097393470403584,FALSE
paragraph_anger,exploratory_paragraph_anger,paragraph_anger,-0.015100696062014148,-0.027693321871346287,-0.0025080702526820075,-2.350329539777156,0.01875679669090695,0.375135933818139,FALSE
writer_affect_x,exploratory_writer_affect_x,writer_affect_x,0.03137167559523206,0.016560718138673755,0.046182633051790364,4.151477342479458,3.3033597263410096e-5,6.606719452682019e-4,TRUE
writer_affect_y,exploratory_writer_affect_y,writer_affect_y,0.005490514275152728,-0.019161458297257215,0.03014248684756267,0.436525320815347,0.662455632075031,1,FALSE
