term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Centrist,all_other_levels,0.9610231078286651,0.9202947291557108,1.003553953447018,-1.7994299991627365,0.0719506877212034,0.0719506877212034
input_condition_improve,Centrist,all_other_levels,1.0464381856831078,0.9891382109630527,1.1070575014886948,1.5798849903675258,0.11413320717861988,0.11413320717861988
input_condition_rewrite,Centrist,all_other_levels,1.0850605438446403,1.0254615968763037,1.1481233304053662,2.8323211832653685,0.004621140506077043,0.004621140506077043
input_condition_stance-based,Centrist,all_other_levels,1.1258472354935039,1.079015237628313,1.1747118608393465,5.468261720430858,4.544704903112831e-8,4.544704903112831e-8
input_condition_bullets-based,Moderately Left-Wing,all_other_levels,1.035564605069012,0.9929388239822388,1.080020264461853,1.6295692779094864,0.10319256190903496,0.10319256190903496
input_condition_improve,Moderately Left-Wing,all_other_levels,0.9835281325364897,0.930127061834589,1.0399951008658443,-0.5831381924533501,0.5598002749548936,0.5598002749548936
input_condition_rewrite,Moderately Left-Wing,all_other_levels,1.0429427218049385,0.9864100609469172,1.1027153554392108,1.4787650138595254,0.13920312946957658,0.13920312946957658
input_condition_stance-based,Moderately Left-Wing,all_other_levels,1.089126584353549,1.0445075002000581,1.1356516985454217,4.000352254236389,6.324826553328469e-5,6.324826553328469e-5
input_condition_bullets-based,Moderately Right-Wing,all_other_levels,1.026567957014333,0.9794772814906951,1.0759226275924527,1.0944702293452784,0.2737487973084799,0.2737487973084799
input_condition_improve,Moderately Right-Wing,all_other_levels,1.1212473179030913,1.055434302649114,1.1911641916027798,3.7081839016292957,2.0875103412001453e-4,2.0875103412001453e-4
input_condition_rewrite,Moderately Right-Wing,all_other_levels,1.0465816975934517,0.9836659164386145,1.1135216046757732,1.4393540859373584,0.1500502260296065,0.1500502260296065
input_condition_stance-based,Moderately Right-Wing,all_other_levels,0.9792342717422343,0.9338111292398262,1.0268669208677577,-0.8659412685840043,0.3865223703033377,0.3865223703033377
input_condition_bullets-based,Other,all_other_levels,0.3906781732221902,0.39061094473378627,0.39074541328136475,-10704.16561029111,0,0
input_condition_improve,Other,all_other_levels,0.4673183681936583,0.4672379513632981,0.46739879886464636,-8664.099600138527,0,0
input_condition_rewrite,Other,all_other_levels,0.518552124996656,0.5184628917904276,0.5186413735609076,-7479.307295037481,0,0
input_condition_stance-based,Other,all_other_levels,0.43306537426229647,0.4329908517360629,0.43313990961468307,-9531.051589548082,0,0
input_condition_bullets-based,Very Left-Wing,all_other_levels,1.3233489707570263,1.2467399064697222,1.4046654713752926,9.208316320362394,3.3128020285733795e-20,3.3128020285733795e-20
input_condition_improve,Very Left-Wing,all_other_levels,1.1255369968932079,1.0378773851880805,1.2206003805987256,2.8586909260247415,0.004253930310549041,0.004253930310549041
input_condition_rewrite,Very Left-Wing,all_other_levels,0.9820491082801677,0.9019511513204763,1.0692601807336681,-0.41728926560659735,0.6764668391472437,0.6764668391472437
input_condition_stance-based,Very Left-Wing,all_other_levels,1.0483964301731217,0.984371089369409,1.1165860991547958,1.470037312506224,0.14155164868597997,0.14155164868597997
input_condition_bullets-based,Very Right-Wing,all_other_levels,0.9645044283377064,0.8887966344316303,1.0466610203558393,-0.8665390440270658,0.38619462466666094,0.38619462466666094
input_condition_improve,Very Right-Wing,all_other_levels,0.8437796418859898,0.7535260609179094,0.9448433451577886,-2.9429843798567212,0.0032506481920228127,0.0032506481920228127
input_condition_rewrite,Very Right-Wing,all_other_levels,0.851316728620305,0.7598578590967269,0.95378387385544106,-2.776025552097017,0.0055027883558628294,0.0055027883558628294
input_condition_stance-based,Very Right-Wing,all_other_levels,0.7445509238862024,0.6814255912872353,0.8135240081203886,-6.525812889923271,6.763370937672522e-11,6.763370937672522e-11
