term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Conservative,all_other_levels,1.447329445617838,1.3869338696517188,1.5103550140270685,17.000764622436655,8.105574457952247e-65,8.105574457952247e-65
input_condition_improve,Conservative,all_other_levels,1.3820734094304474,1.3068056940634523,1.461676297962285,11.325654691810525,9.794433724345049e-30,9.794433724345049e-30
input_condition_rewrite,Conservative,all_other_levels,1.3132222234413107,1.2404736674487709,1.3902371758418324,9.371175830795499,7.172892779873107e-21,7.172892779873107e-21
input_condition_stance-based,Conservative,all_other_levels,1.354416873235587,1.2972980866589066,1.4140505450291219,13.800055614271603,2.546560944633908e-43,2.546560944633908e-43
input_condition_bullets-based,Did not vote,all_other_levels,0.2675878552182863,0.24602438800994028,0.2910413103331428,-30.7541801743454,1.0751319191197737e-207,1.0751319191197737e-207
input_condition_improve,Did not vote,all_other_levels,0.3699641750986176,0.33404000267379064,0.409751795476021,-19.079897957486523,3.7098242715380032e-81,3.7098242715380032e-81
input_condition_rewrite,Did not vote,all_other_levels,0.4539739009188988,0.4121929610393433,0.4999898644456738,-16.031824892006192,7.659984313764942e-58,7.659984313764942e-58
input_condition_stance-based,Did not vote,all_other_levels,0.27488697399155704,0.2528462716821604,0.29884897241127206,-30.2845822682784,1.8296499037731308e-201,1.8296499037731308e-201
input_condition_bullets-based,Greens,all_other_levels,1.2981600017665051,1.2167942600868908,1.3849665842983774,7.9016311985737735,2.752768921158598e-15,2.752768921158598e-15
input_condition_improve,Greens,all_other_levels,1.2503653754476993,1.148368520048254,1.3614214817145733,5.146502582762438,2.653878120610056e-7,2.653878120610056e-7
input_condition_rewrite,Greens,all_other_levels,1.139248311454021,1.0428354285627368,1.2445748193841286,2.8897002806453806,0.0038560928424278464,0.0038560928424278464
input_condition_stance-based,Greens,all_other_levels,1.2138020848425801,1.1363278018745655,1.2965585271588973,5.757869807915114,8.51820099790092e-9,8.51820099790092e-9
input_condition_bullets-based,Labour,all_other_levels,1.0539337195491871,1.011664976152396,1.09796850873234,2.515335099047891,0.01189192935579917,0.01189192935579917
input_condition_improve,Labour,all_other_levels,0.9963841817251041,0.9437418725001251,1.0519629005778524,-0.13079990368487468,0.8959335991903817,0.8959335991903817
input_condition_rewrite,Labour,all_other_levels,1.0081934854738788,0.9545683361644927,1.0648311552383307,0.2926257958363171,0.7698081942165063,0.7698081942165063
input_condition_stance-based,Labour,all_other_levels,1.0864565233628676,1.0429264039145034,1.1318035220196558,3.974629486287501,7.048890447292893e-5,7.048890447292893e-5
input_condition_bullets-based,Liberal Democrats,all_other_levels,1.3541020351197413,1.3535716844899626,1.3546325935492205,1516.7026695953004,0,0
input_condition_improve,Liberal Democrats,all_other_levels,1.324781503042665,1.3242626683854255,1.3253005409748349,1407.2622180077544,0,0
input_condition_rewrite,Liberal Democrats,all_other_levels,1.330251134187958,1.329730157834282,1.3307723146554982,1427.8793970521283,0,0
input_condition_stance-based,Liberal Democrats,all_other_levels,1.4869697386025846,1.4863873516878179,1.487552353704518,1985.0336206076163,0,0
input_condition_bullets-based,Not eligible to vote,all_other_levels,0.1738984124752075,0.13736758230243878,0.2201440642291956,-14.539603330589253,6.798545725832719e-48,6.798545725832719e-48
input_condition_improve,Not eligible to vote,all_other_levels,0.3000632690068802,0.2313515019688025,0.3891825410290047,-9.072588867747116,1.16222127721058e-19,1.16222127721058e-19
input_condition_rewrite,Not eligible to vote,all_other_levels,0.3650766921093676,0.28545035330752744,0.46691478772817957,-8.027130365781362,9.977904054405783e-16,9.977904054405783e-16
input_condition_stance-based,Not eligible to vote,all_other_levels,0.2967906536719032,0.24526983608956293,0.35913381568384345,-12.486976497136126,8.79322125536224e-36,8.79322125536224e-36
input_condition_bullets-based,Other,all_other_levels,0.666876186249851,0.6091677484610118,0.7300515316358863,-8.773498907339754,1.7319862756880217e-18,1.7319862756880217e-18
input_condition_improve,Other,all_other_levels,0.7004620087104562,0.6221323620419886,0.7886537585607429,-5.884187715826196,4.000136363966791e-9,4.000136363966791e-9
input_condition_rewrite,Other,all_other_levels,0.7326442653756137,0.6511340704676445,0.824358060702101,-5.169763400025121,2.343905553845857e-7,2.343905553845857e-7
input_condition_stance-based,Other,all_other_levels,0.6311562560052959,0.5758827074311953,0.6917349910914233,-9.841799226407327,7.436876808874947e-23,7.436876808874947e-23
input_condition_bullets-based,Scottish National Party,all_other_levels,0.9908816134499404,0.8393057630871236,1.1698315620540274,-0.10814371616652359,0.9138816909880794,0.9138816909880794
input_condition_improve,Scottish National Party,all_other_levels,1.4384972165111616,1.1817949201214928,1.7509588226167287,3.625546497338089,2.8835100538832667e-4,2.8835100538832667e-4
input_condition_rewrite,Scottish National Party,all_other_levels,1.2840674472108167,1.0488370388915718,1.5720547118826136,2.4218547311255922,0.015441521963107331,0.015441521963107331
input_condition_stance-based,Scottish National Party,all_other_levels,0.8742422526947866,0.734661482488721,1.0403424360941491,-1.514361128579279,0.12993427245462083,0.12993427245462083
