term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Conservative,all_other_levels,1.46616209368706,1.40504098534454,1.529942049653233,17.61297777193114,1.9586453516152416e-69,1.9586453516152416e-69
model_deepseek/deepseek-chat-v3-0324,Conservative,all_other_levels,1.3835723626087837,1.325432515931053,1.4442625026670382,14.822992009390257,1.0404487315291022e-49,1.0404487315291022e-49
model_openai/chatgpt-4o-latest,Conservative,all_other_levels,1.301738967305616,1.2466255298421602,1.3592889752678508,11.947422923021936,6.696980975102615e-33,6.696980975102615e-33
model_anthropic/claude-sonnet-4,Did not vote,all_other_levels,0.3170757821781603,0.2928210362994745,0.3433395800876502,-28.289866001774765,4.605155975755959e-176,4.605155975755959e-176
model_deepseek/deepseek-chat-v3-0324,Did not vote,all_other_levels,0.31868722108741465,0.29440760057888693,0.34496916752393814,-28.283813105154614,5.46632916886252e-176,5.46632916886252e-176
model_openai/chatgpt-4o-latest,Did not vote,all_other_levels,0.3133993426636267,0.28936982150937485,0.3394242961124101,-28.50778422817026,9.380711369854133e-179,9.380711369854133e-179
model_anthropic/claude-sonnet-4,Greens,all_other_levels,1.1871254136473788,1.110967403133148,1.2685041377029145,5.070737669383896,3.9627669096234485e-7,3.9627669096234485e-7
model_deepseek/deepseek-chat-v3-0324,Greens,all_other_levels,1.2378348535241586,1.1592463428244284,1.3217510963769645,6.3755074697985235,1.8235810075101115e-10,1.8235810075101115e-10
model_openai/chatgpt-4o-latest,Greens,all_other_levels,1.28150474126772,1.2010974142814799,1.3672949274260782,7.502371413063714,6.267348525697792e-14,6.267348525697792e-14
model_anthropic/claude-sonnet-4,Labour,all_other_levels,1.0090393246407021,0.9683075190224468,1.051484511551915,0.4280498032543798,0.6686148614360169,0.6686148614360169
model_deepseek/deepseek-chat-v3-0324,Labour,all_other_levels,1.0422887225905602,1.0003654369405401,1.0859689280768634,1.97744366430551,0.04799150249327217,0.04799150249327217
model_openai/chatgpt-4o-latest,Labour,all_other_levels,1.090750035568368,1.0472004893297089,1.1361106609622775,4.17856985160552,2.9334790354658772e-05,2.9334790354658772e-05
model_anthropic/claude-sonnet-4,Liberal Democrats,all_other_levels,1.3483927429765088,1.3478641991278293,1.3489214940853855,1494.347479558702,0,0
model_deepseek/deepseek-chat-v3-0324,Liberal Democrats,all_other_levels,1.4133003247296374,1.4127463416774408,1.413854525016318,1729.3948679292494,0,0
model_openai/chatgpt-4o-latest,Liberal Democrats,all_other_levels,1.3846274444792483,1.3840846974952545,1.3851704042929116,1626.9174769470346,0,0
model_anthropic/claude-sonnet-4,Not eligible to vote,all_other_levels,0.314077979552114,0.2604927881522653,0.3786860202128796,-12.134230325722594,6.956097234640352e-34,6.956097234640352e-34
model_deepseek/deepseek-chat-v3-0324,Not eligible to vote,all_other_levels,0.2346630228775742,0.19042515684729475,0.28917783352648035,-13.601453433539442,3.925539895930723e-42,3.925539895930723e-42
model_openai/chatgpt-4o-latest,Not eligible to vote,all_other_levels,0.25065826639772615,0.20405901476954683,0.3078989996323846,-13.18536564571448,1.065361967712227e-39,1.065361967712227e-39
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.6770950546408234,0.6187160869008786,0.7409823709537826,-8.476549371615075,2.3197132258538328e-17,2.3197132258538328e-17
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.6709839618338369,0.6129243555301294,0.7345432971884908,-8.641189551621139,5.563073214372607e-18,5.563073214372607e-18
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.6657524394221385,0.6084662921406367,0.7284319876409585,-8.862340838299476,7.835162532742716e-19,7.835162532742716e-19
model_anthropic/claude-sonnet-4,Scottish National Party,all_other_levels,1.1418227983256843,0.9725150987556843,1.3406057185584401,1.619650697400529,0.10530733258333279,0.10530733258333279
model_deepseek/deepseek-chat-v3-0324,Scottish National Party,all_other_levels,0.9665220599756952,0.8177971261115289,1.1422941736924892,-0.3994274580039564,0.6895782652906397,0.6895782652906397
model_openai/chatgpt-4o-latest,Scottish National Party,all_other_levels,1.1141005646535096,0.9483321844330885,1.3088452427703574,1.3145608953431345,0.18865751970377034,0.18865751970377034
