term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Asian,all_other_levels,0.8775902044318707,0.8125331250865985,0.9478562081179027,-3.3227455224925095,8.913619036381859e-4,8.913619036381859e-4
input_condition_improve,Asian,all_other_levels,0.8637121449443196,0.7795601492335261,0.9569481842520979,-2.801401603467698,0.005088115501986095,0.005088115501986095
input_condition_rewrite,Asian,all_other_levels,0.8718115642643559,0.7865407409713749,0.9663268080003047,-2.6122592924624466,0.008994600670761214,0.008994600670761214
input_condition_stance-based,Asian,all_other_levels,0.9536862227425883,0.8846567028147916,1.0281020971808983,-1.2370300964194807,0.2160759094980517,0.2160759094980517
input_condition_bullets-based,Black,all_other_levels,1.0363108466550122,0.9682869879821494,1.1091135006707604,1.029659476421187,0.3031698847516704,0.3031698847516704
input_condition_improve,Black,all_other_levels,0.9409988424459367,0.8581818479355414,1.0318079129903732,-1.29381877661818,0.19572802538045245,0.19572802538045245
input_condition_rewrite,Black,all_other_levels,0.9581672795621279,0.873706579742113,1.0507927454254435,-0.9076561190872312,0.36405993459097585,0.36405993459097585
input_condition_stance-based,Black,all_other_levels,1.0517929940447555,0.9828949017210737,1.1255206435444187,1.4608658856222503,0.14405225030942162,0.14405225030942162
input_condition_bullets-based,Mixed,all_other_levels,1.0124898675574379,0.9426517174845043,1.0875021101558962,0.34039757006806864,0.7335571483603063,0.7335571483603063
input_condition_improve,Mixed,all_other_levels,0.8773479605813717,0.795348308341305,0.9678016987822354,-2.6137373196696756,0.008955786220234647,0.008955786220234647
input_condition_rewrite,Mixed,all_other_levels,0.9821403327170034,0.892494925364475,1.0807900479160095,-0.36903210745066256,0.7121037929202336,0.7121037929202336
input_condition_stance-based,Mixed,all_other_levels,0.9935971843368551,0.9246261965695582,1.0677129507955252,-0.1749994274773477,0.8610800834500852,0.8610800834500852
input_condition_bullets-based,Other,all_other_levels,0.7128207245712668,0.6232474027392813,0.8152675536954644,-4.94100419584502,7.772123567822058e-7,7.772123567822058e-7
input_condition_improve,Other,all_other_levels,0.7002546553764263,0.584793381216983,0.8385125381479218,-3.8758395847355627,1.0625767358606184e-4,1.0625767358606184e-4
input_condition_rewrite,Other,all_other_levels,0.7767668169139047,0.6486723437485148,0.9301563318883842,-2.7474544423823954,0.006005985217093799,0.006005985217093799
input_condition_stance-based,Other,all_other_levels,0.8229876250977828,0.7221654456652475,0.9378856813623401,-2.92175924061406,0.0034806048005536906,0.0034806048005536906
input_condition_bullets-based,White,all_other_levels,1.0720159241918108,1.0239631858889875,1.1223236904978091,2.9720710805812667,0.002957981935392307,0.002957981935392307
input_condition_improve,White,all_other_levels,1.1985925250743632,1.1271630390111256,1.2745485714511242,5.778425142779315,7.54030784558406e-9,7.54030784558406e-9
input_condition_rewrite,White,all_other_levels,1.1199715354104016,1.0533507260726913,1.1908058817277267,3.621151201095702,2.9329503238632415e-4,2.9329503238632415e-4
input_condition_stance-based,White,all_other_levels,1.0234505956757989,0.9777678311004477,1.071267726828641,0.9949550302517273,0.31975813637816763,0.31975813637816763
