term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Asian,all_other_levels,0.8543408210937069,0.7904498217631212,0.9233960442409996,-3.969651286550314,7.197789425051185e-5,7.197789425051185e-5
model_deepseek/deepseek-chat-v3-0324,Asian,all_other_levels,0.9466247498973426,0.877971388323983,1.020646491486274,-1.4279812087333674,0.15329726729437756,0.15329726729437756
model_openai/chatgpt-4o-latest,Asian,all_other_levels,0.8978679772740106,0.8318200269722582,0.9691602491809318,-2.7635605344259107,0.005717448596507575,0.005717448596507575
model_anthropic/claude-sonnet-4,Black,all_other_levels,0.9624094583550546,0.8978796776642844,1.0315769346074743,-1.0820420360563752,0.2792338498476379,0.2792338498476379
model_deepseek/deepseek-chat-v3-0324,Black,all_other_levels,1.032569444736415,0.9646208502183182,1.1053043876896922,0.9228466214778814,0.3560871410281568,0.3560871410281568
model_openai/chatgpt-4o-latest,Black,all_other_levels,1.042047327119691,0.973771821376494,1.1151099345043178,1.1912709156887944,0.23354724775576918,0.23354724775576918
model_anthropic/claude-sonnet-4,Mixed,all_other_levels,0.9948261052786871,0.9258687992148973,1.068919247071694,-0.14153406653348133,0.8874480497028461,0.8874480497028461
model_deepseek/deepseek-chat-v3-0324,Mixed,all_other_levels,1.001038525922563,0.9317146553842302,1.0755204123820188,0.028348184501278042,0.9773844503498942,0.9773844503498942
model_openai/chatgpt-4o-latest,Mixed,all_other_levels,0.9387239931189413,0.8727883634684311,1.0096407928209545,-1.7017841122915975,0.08879584586868952,0.08879584586868952
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.7205995588692791,0.6300148783337067,0.8242086688745714,-4.780674392129928,1.7470813025332093e-6,1.7470813025332093e-6
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.8083656979621,0.7085750735537157,0.922210117220862,-3.164666445998443,0.0015526082930886476,0.0015526082930886476
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.7442692175736398,0.6510215967001151,0.8508729526569638,-4.324598816961598,1.5280969582652335e-5,1.5280969582652335e-5
model_anthropic/claude-sonnet-4,White,all_other_levels,1.12551718715392,1.074728400757318,1.1787061155974075,5.019106451132733,5.191237874279913e-7,5.191237874279913e-7
model_deepseek/deepseek-chat-v3-0324,White,all_other_levels,1.036782836347958,0.9904366923644098,1.0852976853872691,1.5481579714336389,0.12158426752789388,0.12158426752789388
model_openai/chatgpt-4o-latest,White,all_other_levels,1.0886535719039345,1.0398280917396634,1.1397716690230748,3.6282241245850506,2.853774745695484e-4,2.853774745695484e-4
