term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Conservative,Labour,1.320344005947462,1.2579620905306454,1.3858194194914195,11.253655430938311,2.2218875421513337e-29,2.2218875421513337e-29
model_anthropic/claude-sonnet-4,Did not vote,Labour,0.3879660909570053,0.3583048994606979,0.4200826948194423,-23.33353676073573,2.025326471931412e-120,2.025326471931412e-120
model_anthropic/claude-sonnet-4,Greens,Labour,1.1632084585669762,1.0847590300180427,1.2473313248742954,4.24375489301758,2.198104366354089e-5,2.198104366354089e-5
model_anthropic/claude-sonnet-4,Liberal Democrats,Labour,1.2725678146977044,1.2008262364479771,1.348595486883042,8.141602721168871,3.900793897637748e-16,3.900793897637748e-16
model_anthropic/claude-sonnet-4,Not eligible to vote,Labour,0.37070688201913393,0.31120154678965195,0.44159032560733297,-11.116096037473639,1.0475628305258707e-28,1.0475628305258707e-28
model_anthropic/claude-sonnet-4,Other,Labour,0.7483644080172989,0.6893987485643219,0.812373518741351,-6.922560165257172,4.43553309192802e-12,4.43553309192802e-12
model_anthropic/claude-sonnet-4,Scottish National Party,Labour,1.1124637984359644,0.9589995959107671,1.2904861567279828,1.4072267564633278,0.1593601600098743,0.1593601600098743
model_deepseek/deepseek-chat-v3-0324,Conservative,Labour,1.241832370551772,1.1829166571661514,1.3036824083994831,8.733948894716582,2.4593226619847544e-18,2.4593226619847544e-18
model_deepseek/deepseek-chat-v3-0324,Did not vote,Labour,0.38436093257324544,0.3551383610905882,0.41598808429172013,-23.700405733806615,3.571121213148808e-124,3.571121213148808e-124
model_deepseek/deepseek-chat-v3-0324,Greens,Labour,1.179415217410809,1.1007619429901838,1.2636885422124289,4.68639379955471,2.7806100060744087e-6,2.7806100060744087e-6
model_deepseek/deepseek-chat-v3-0324,Liberal Democrats,Labour,1.2941668347080628,1.2220309849906885,1.3705608258951376,8.812449631808736,1.22440402675264e-18,1.22440402675264e-18
model_deepseek/deepseek-chat-v3-0324,Not eligible to vote,Labour,0.2758716736943019,0.2264944718346811,0.3360134122939863,-12.798837387743761,1.6642413322995367e-37,1.6642413322995367e-37
model_deepseek/deepseek-chat-v3-0324,Other,Labour,0.7255559632977244,0.6682779561130351,0.7877432602128899,-7.646488362589686,2.0654214494251647e-14,2.0654214494251647e-14
model_deepseek/deepseek-chat-v3-0324,Scottish National Party,Labour,0.9500582658796052,0.813043065590212,1.1101634670617735,-0.6447614078537313,0.5190818147062563,0.5190818147062563
model_openai/chatgpt-4o-latest,Conservative,Labour,1.150240434528305,1.0955753313097734,1.2076331215327185,5.634330058960194,1.757401598198946e-8,1.757401598198946e-8
model_openai/chatgpt-4o-latest,Did not vote,Labour,0.36206954711290706,0.3343866786959632,0.39204419702897764,-25.03450492716001,2.5751007483703605e-138,2.5751007483703605e-138
model_openai/chatgpt-4o-latest,Greens,Labour,1.1796514624862404,1.1020109205833883,1.262762053400746,4.756431471744613,1.970450854982868e-6,1.970450854982868e-6
model_openai/chatgpt-4o-latest,Liberal Democrats,Labour,1.2333587893326832,1.1647383899373436,1.3060219499642425,7.181327388678182,6.903780865238426e-13,6.903780865238426e-13
model_openai/chatgpt-4o-latest,Not eligible to vote,Labour,0.2727960168589628,0.22450645769948988,0.3314722773530475,-13.069000035085915,4.9512089397957643e-39,4.9512089397957643e-39
model_openai/chatgpt-4o-latest,Other,Labour,0.7036041813498489,0.6483012653669168,0.7636246764577954,-8.416971320920084,3.863422071176575e-17,3.863422071176575e-17
model_openai/chatgpt-4o-latest,Scottish National Party,Labour,1.0358800965087656,0.8925604206963427,1.202212813229896,0.46398226128329095,0.6426604546821478,0.6426604546821478
