term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Asian,White,0.8390094097278407,0.7752751086825767,0.9079832200572747,-4.354785610471294,1.3319721270942422e-5,1.3319721270942422e-5
model_anthropic/claude-sonnet-4,Black,White,0.9353059580190778,0.8715560847589018,1.0037188086960345,-1.8569402706479912,0.06331965235745729,0.06331965235745729
model_anthropic/claude-sonnet-4,Mixed,White,0.9623336544661046,0.8952477745165731,1.0344466513956625,-1.0414007147405093,0.29768961096483265,0.29768961096483265
model_anthropic/claude-sonnet-4,Other,White,0.8094702118801071,0.7295397080544161,0.8981581354477162,-3.984907529876416,6.75064086365307e-5,6.75064086365307e-5
model_deepseek/deepseek-chat-v3-0324,Asian,White,0.941736641097183,0.8722714566986789,1.0167338325405826,-1.5355050953018041,0.12465980645645547,0.12465980645645547
model_deepseek/deepseek-chat-v3-0324,Black,White,1.0186178737014082,0.9504185071989704,1.091711035469935,0.5217278194755176,0.6018598522248441,0.6018598522248441
model_deepseek/deepseek-chat-v3-0324,Mixed,White,0.9897156577615788,0.9207260340886635,1.063874645608324,-0.2804184363571213,0.7791564940643896,0.7791564940643896
model_deepseek/deepseek-chat-v3-0324,Other,White,0.869293768571024,0.7844126862180264,0.9633598096428228,-2.6720820012314803,0.007538222495378794,0.007538222495378794
model_openai/chatgpt-4o-latest,Asian,White,0.8875333756450938,0.8211854709733076,0.959241877416971,-3.009711227292591,0.002614961799401839,0.002614961799401839
model_openai/chatgpt-4o-latest,Black,White,1.0141877120330247,0.9466367884121656,1.0865589926671424,0.4006002464004335,0.6887144642239045,0.6887144642239045
model_openai/chatgpt-4o-latest,Mixed,White,0.9219674125206159,0.8568267777572108,0.9920603928543663,-2.1732231461351663,0.02976352652744985,0.02976352652744985
model_openai/chatgpt-4o-latest,Other,White,0.8167506343242947,0.7360353472891166,0.9063173407718235,-3.8128243734383775,1.3738774153593825e-4,1.3738774153593825e-4
