term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Centrist,all_other_levels,1.037085204453793,0.989931035317279,1.0864855054799314,1.5337490677246377,0.12509139736145736,0.12509139736145736
model_deepseek/deepseek-chat-v3-0324,Centrist,all_other_levels,1.0458163682513584,0.9977308897575564,1.096219318586229,1.8654055970950705,0.06212457342105691,0.06212457342105691
model_openai/chatgpt-4o-latest,Centrist,all_other_levels,1.04507501187423,0.9978545379922813,1.094530053089131,1.8689544149056607,0.06162915674386256,0.06162915674386256
model_anthropic/claude-sonnet-4,Moderately Left-Wing,all_other_levels,1.0090836669470455,0.9637679189245248,1.0565301323119034,0.3857368022718358,0.6996916039671965,0.6996916039671965
model_deepseek/deepseek-chat-v3-0324,Moderately Left-Wing,all_other_levels,1.0614838534854014,1.0135074548620053,1.1117313107120956,2.5285832988179577,0.011452390684638474,0.011452390684638474
model_openai/chatgpt-4o-latest,Moderately Left-Wing,all_other_levels,1.0841863116554504,1.03619350454372,1.1344019753324492,3.4991350743096583,4.6677005653268563e-4,4.6677005653268563e-4
model_anthropic/claude-sonnet-4,Moderately Right-Wing,all_other_levels,1.0913385142365337,1.037869642786025,1.1475619900191596,3.4102626625835524,6.490034292839913e-4,6.490034292839913e-4
model_deepseek/deepseek-chat-v3-0324,Moderately Right-Wing,all_other_levels,1.003842098903082,0.9531829559687914,1.0571936407590767,0.14514536228318206,0.8845961035563986,0.8845961035563986
model_openai/chatgpt-4o-latest,Moderately Right-Wing,all_other_levels,1.005115638314196,0.955279898573568,1.0575512453389613,0.19666480133268927,0.84408985657727,0.84408985657727
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.4249253100285129,0.37417521903126605,0.4825587316292587,-13.188617699634902,1.0203910707508023e-39,1.0203910707508023e-39
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.3911122231003283,0.3428944756442759,0.4461103398387005,-13.98454120522254,1.9372206787985707e-44,1.9372206787985707e-44
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.42767773564747835,0.37709411476181726,0.485046672457575,-13.225764522167188,6.230051533216934e-40,6.230051533216934e-40
model_anthropic/claude-sonnet-4,Very Left-Wing,all_other_levels,1.112266985162514,1.039187824622718,1.1904853164842044,3.0686004159188007,0.0021506403750058897,0.0021506403750058897
model_deepseek/deepseek-chat-v3-0324,Very Left-Wing,all_other_levels,1.163529557970538,1.0868614450234615,1.2456059035582883,4.3550555679026575,1.3303316674002289e-5,1.3303316674002289e-5
model_openai/chatgpt-4o-latest,Very Left-Wing,all_other_levels,1.1397520265098042,1.0657444340084776,1.2188988658822046,3.81888349035897,1.34057056091011e-4,1.34057056091011e-4
model_anthropic/claude-sonnet-4,Very Right-Wing,all_other_levels,0.9105058124591044,0.8313786141991937,0.9971640121154057,-2.0212267990719446,0.04325629273573158,0.04325629273573158
model_deepseek/deepseek-chat-v3-0324,Very Right-Wing,all_other_levels,0.8861985390453478,0.807550296496608,0.9725064234552078,-2.5479556545080095,0.010835624405704911,0.010835624405704911
model_openai/chatgpt-4o-latest,Very Right-Wing,all_other_levels,0.7994812209982166,0.727893065122466,0.8781100595061457,-4.675812274482048,2.9279235857003987e-6,2.9279235857003987e-6
