term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Conservative,all_other_levels,1.458164494477514,1.3929261792719216,1.5264582751013018,16.151223456029097,1.1133141557192828e-58,1.1133141557192828e-58
input_condition_improve,Conservative,all_other_levels,1.4407031237973207,1.3566071554458266,1.5300121944567202,11.898978666399296,1.1980438621642604e-32,1.1980438621642604e-32
input_condition_rewrite,Conservative,all_other_levels,1.314052761104104,1.2344572494801198,1.398780443545143,8.567020945285352,1.0619658154409618e-17,1.0619658154409618e-17
input_condition_stance-based,Conservative,all_other_levels,1.3553282872296464,1.2926742191346217,1.4210191082750654,12.590707714063676,2.375340905252926e-36,2.375340905252926e-36
input_condition_bullets-based,Did not vote,all_other_levels,0.25704180873908733,0.23465917677573245,0.2815593762310271,-29.226760696172587,8.865645118053872e-188,8.865645118053872e-188
input_condition_improve,Did not vote,all_other_levels,0.367108306335727,0.3287495059730359,0.4099428474631373,-17.797190137688492,7.430466477839655e-71,7.430466477839655e-71
input_condition_rewrite,Did not vote,all_other_levels,0.45501381947846326,0.4094013474784826,0.5057080959589687,-14.610727932322199,2.3994052967923808e-48,2.3994052967923808e-48
input_condition_stance-based,Did not vote,all_other_levels,0.25833723052929886,0.2351975255115233,0.2837535154011573,-28.269774242073964,8.134193428653106e-176,8.134193428653106e-176
input_condition_bullets-based,Greens,all_other_levels,1.345950273373365,1.2555229355745492,1.4428905176191185,8.37285853174575,5.623710284921504e-17,5.623710284921504e-17
input_condition_improve,Greens,all_other_levels,1.2275127953731724,1.117930749263107,1.3478363161564981,4.296630792129463,1.7341366707274083e-5,1.7341366707274083e-5
input_condition_rewrite,Greens,all_other_levels,1.1142293532078402,1.009505684149617,1.2298168014732647,2.1478696190665736,0.03172411447555922,0.03172411447555922
input_condition_stance-based,Greens,all_other_levels,1.2562347908120128,1.168411161449584,1.350659683607102,6.169279166806029,6.860201415375732e-10,6.860201415375732e-10
input_condition_bullets-based,Labour,all_other_levels,1.0608575151607726,1.0151613104242823,1.1086106768615176,2.629841716899782,0.008542463119201642,0.008542463119201642
input_condition_improve,Labour,all_other_levels,0.9709904312902218,0.9153060452374373,1.030062482994522,-0.9769998658599105,0.3285692187759547,0.3285692187759547
input_condition_rewrite,Labour,all_other_levels,1.0128366735598557,0.9538039214838127,1.0755230757616503,0.4163009496244483,0.6771897977764204,0.6771897977764204
input_condition_stance-based,Labour,all_other_levels,1.1116460156230419,1.0628417199452878,1.162691340451142,4.6207165000280375,3.824170433450871e-6,3.824170433450871e-6
input_condition_bullets-based,Liberal Democrats,all_other_levels,1.3291984460570152,1.254103086405374,1.4087904958949258,9.591004720139566,8.723137171022048e-22,8.723137171022048e-22
input_condition_improve,Liberal Democrats,all_other_levels,1.3193650453510621,1.2223033717098926,1.4241342723771546,7.108889404182714,1.1698043626837157e-12,1.1698043626837157e-12
input_condition_rewrite,Liberal Democrats,all_other_levels,1.33477998216872,1.2349626631993593,1.4426651540887272,7.281787606445283,3.2942544262309636e-13,3.2942544262309636e-13
input_condition_stance-based,Liberal Democrats,all_other_levels,1.4623428094450421,1.3795567496691867,1.5500967922112747,12.781557942177345,2.078635867192495e-37,2.078635867192495e-37
input_condition_bullets-based,Not eligible to vote,all_other_levels,0.14366072696795001,0.11015707655040452,0.18735432274763,-14.321335169212453,1.6100003694718176e-46,1.6100003694718176e-46
input_condition_improve,Not eligible to vote,all_other_levels,0.26525340606665343,0.19729401323091603,0.356621918109655,-8.78763373016594,1.5274300766805813e-18,1.5274300766805813e-18
input_condition_rewrite,Not eligible to vote,all_other_levels,0.3082987018600707,0.23016433761005564,0.4129575005213674,-7.890857758581716,3.001165638546124e-15,3.001165638546124e-15
input_condition_stance-based,Not eligible to vote,all_other_levels,0.23916527127460657,0.19071518970239745,0.2999238134786969,-12.386497865008112,3.092563432131515e-35,3.092563432131515e-35
input_condition_bullets-based,Other,all_other_levels,0.6613647330176673,0.5998826636943987,0.7291481093748676,-8.30531893456575,9.95516758006032e-17,9.95516758006032e-17
input_condition_improve,Other,all_other_levels,0.7022299685983762,0.618081891404077,0.7978342929242849,-5.42814948728241,5.6941339762188243e-8,5.6941339762188243e-8
input_condition_rewrite,Other,all_other_levels,0.7601552636270916,0.668427861181587,0.8644702867389852,-4.17978203657199,2.9178863203848784e-5,2.9178863203848784e-5
input_condition_stance-based,Other,all_other_levels,0.6126759748054581,0.5535001087599928,0.6781784577147861,-9.453589886731887,3.2740500550186563e-21,3.2740500550186563e-21
input_condition_bullets-based,Scottish National Party,all_other_levels,0.9784075810000206,0.807009783658324,1.1862079171070008,-0.2221538735582321,0.8241941004504474,0.8241941004504474
input_condition_improve,Scottish National Party,all_other_levels,1.5197066154055343,1.2058482286042504,1.915256117745898,3.5459279977329063,3.9123308976707095e-4,3.9123308976707095e-4
input_condition_rewrite,Scottish National Party,all_other_levels,1.3391047268010832,1.055562388450497,1.6988114477755478,2.405448318521468,0.016152636476616616,0.016152636476616616
input_condition_stance-based,Scottish National Party,all_other_levels,0.850547175681359,0.6913850880499066,1.0463495822567073,-1.5313800315608128,0.12567549629943697,0.12567549629943697
