term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Asian,all_other_levels,0.852181073948648,0.7832280228829087,0.9272045452654067,-3.7157172407774754,2.0262808409462235e-4,2.0262808409462235e-4
model_deepseek/deepseek-chat-v3-0324,Asian,all_other_levels,0.9339900863662692,0.8594287276970759,1.0150201562007188,-1.6087820794945353,0.10766400073543841,0.10766400073543841
model_openai/chatgpt-4o-latest,Asian,all_other_levels,0.9098693273970919,0.837959455110035,0.9879501781256558,-2.248603549284169,0.024537730409282952,0.024537730409282952
model_anthropic/claude-sonnet-4,Black,all_other_levels,0.9529515365264031,0.8832720215754962,1.0281279252434838,-1.2439586228350217,0.21351479183816052,0.21351479183816052
model_deepseek/deepseek-chat-v3-0324,Black,all_other_levels,1.0324793786929987,0.9576485354524241,1.1131575186116285,0.8326647146135998,0.40503385005727655,0.40503385005727655
model_openai/chatgpt-4o-latest,Black,all_other_levels,1.0324382739953812,0.9588547318807079,1.1116686961744848,0.8462331027055824,0.3974227186930191,0.3974227186930191
model_anthropic/claude-sonnet-4,Mixed,all_other_levels,0.9761036733319833,0.9020678487310132,1.0562158738198189,-0.6009895212480103,0.547846965685721,0.547846965685721
model_deepseek/deepseek-chat-v3-0324,Mixed,all_other_levels,1.02037971654692,0.942821170840226,1.104318399015686,0.5002014346010693,0.6169332483180825,0.6169332483180825
model_openai/chatgpt-4o-latest,Mixed,all_other_levels,0.9324824262757336,0.8612306520703342,1.0096290386585864,-1.723704671682772,0.08476117123605748,0.08476117123605748
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.6987222033889597,0.6008575333643132,0.8125265814262639,-4.6566300562554135,3.2142726023917534e-6,3.2142726023917534e-6
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.804423798427617,0.6931624176706163,0.9335440453498586,-2.8654269823795024,0.004164473008733647,0.004164473008733647
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.7168765229780337,0.617245559369736,0.8325891395991999,-4.359821894744536,1.3016834579415945e-5,1.3016834579415945e-5
model_anthropic/claude-sonnet-4,White,all_other_levels,1.1431538422234273,1.0868992180148658,1.2023200360535278,5.196581048752821,2.029871232800403e-7,2.029871232800403e-7
model_deepseek/deepseek-chat-v3-0324,White,all_other_levels,1.031048052137501,0.9802433455981173,1.0844858989253177,1.1859946233152834,0.23562442285436552,0.23562442285436552
model_openai/chatgpt-4o-latest,White,all_other_levels,1.0933950038329392,1.0401286595634907,1.1493891870151451,3.5040576063206252,4.582262224295689e-4,4.582262224295689e-4
