term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Conservative,Labour,1.2669267300846332,1.2029803002802266,1.3342723393134885,8.953589326019557,3.4410718122120772e-19,3.4410718122120772e-19
input_condition_bullets-based,Did not vote,Labour,0.31368192131895084,0.2865526441229559,0.3433796538974804,-25.121009623102537,2.9320194135417542e-139,2.9320194135417542e-139
input_condition_bullets-based,Greens,Labour,1.2493743652915017,1.1612384635790756,1.3441996227342925,5.965075515353506,2.4452092877611774e-9,2.4452092877611774e-9
input_condition_bullets-based,Liberal Democrats,Labour,1.2136165705542097,1.1399861307170258,1.2920027188377823,6.062841586308279,1.3373737429795734e-9,1.3373737429795734e-9
input_condition_bullets-based,Not eligible to vote,Labour,0.19892773936187957,0.15649269299235535,0.2528696051614435,-13.191364614451428,9.838795921904557e-40,9.838795921904557e-40
input_condition_bullets-based,Other,Labour,0.7002997846547334,0.6411062123058543,0.7649587213070087,-7.906432551645371,2.6486970305402656e-15,2.6486970305402656e-15
input_condition_bullets-based,Scottish National Party,Labour,0.9731653738753211,0.8227751603711941,1.151044526529742,-0.3175916445713741,0.7507947129207589,0.7507947129207589
input_condition_improve,Conservative,Labour,1.3341046482325836,1.2452824367592277,1.429262278096284,8.200384891366438,2.396185862274242e-16,2.396185862274242e-16
input_condition_improve,Did not vote,Labour,0.45017005794364506,0.40293521041505276,0.5029421004439827,-14.112220559950137,3.193611604475631e-45,3.193611604475631e-45
input_condition_improve,Greens,Labour,1.2269943790352926,1.1116091941733064,1.354356561708579,4.059912448366915,4.909111997587705e-5,4.909111997587705e-5
input_condition_improve,Liberal Democrats,Labour,1.2816169049624395,1.1796276224875766,1.3924240665217222,5.864671172384331,4.5002363579014135e-9,4.5002363579014135e-9
input_condition_improve,Not eligible to vote,Labour,0.3505328660357498,0.2690607476085189,0.45667490060652227,-7.767619227748633,7.997504833436362e-15,7.997504833436362e-15
input_condition_improve,Other,Labour,0.8033488967925599,0.715564484868181,0.9019025728990882,-3.7088089026851487,2.0823650883926872e-4,2.0823650883926872e-4
input_condition_improve,Scottish National Party,Labour,1.4126474501108728,1.1603062420354422,1.719867347092833,3.4409341476853523,5.797096022057532e-4,5.797096022057532e-4
input_condition_rewrite,Conservative,Labour,1.2172071803183342,1.1336255589357138,1.3069512310656437,5.415604448823847,6.108200194801084e-8,6.108200194801084e-8
input_condition_rewrite,Did not vote,Labour,0.5200013286237023,0.4675676840588831,0.5783149498765672,-12.058745264939049,1.744198863670974e-33,1.744198863670974e-33
input_condition_rewrite,Greens,Labour,1.093399815397367,0.9856579147344708,1.2129189432147576,1.6870618900061427,0.09159145204985963,0.09159145204985963
input_condition_rewrite,Liberal Democrats,Labour,1.2646966346484252,1.1626042992593681,1.3757540538169173,5.468372123949459,4.541875597964253e-8,4.541875597964253e-8
input_condition_rewrite,Not eligible to vote,Labour,0.3600162201247177,0.2763134702326901,0.4690747745440717,-7.567078545546787,3.8171112317471295e-14,3.8171112317471295e-14
input_condition_rewrite,Other,Labour,0.827203820218076,0.7367319607377527,0.9287857682978283,-3.2101340269447687,0.0013267309491417378,0.0013267309491417378
input_condition_rewrite,Scottish National Party,Labour,1.328099836035288,1.0833095822686096,1.6282041655933652,2.72985193336843,0.006336277725647305,0.006336277725647305
input_condition_stance-based,Conservative,Labour,1.171057509437763,1.1102520459527612,1.2351931216066645,5.8045256488967905,6.454847959993022e-9,6.454847959993022e-9
input_condition_stance-based,Did not vote,Labour,0.3017712978713194,0.27487312340377307,0.33130163870248563,-25.15266551336344,1.3214201717058135e-139,1.3214201717058135e-139
input_condition_stance-based,Greens,Labour,1.1430778674523074,1.059437831507749,1.2333210804826333,3.4493160776204967,5.620084379814952e-4,5.620084379814952e-4
input_condition_stance-based,Liberal Democrats,Labour,1.2765827683997457,1.199041216179644,1.3591389041383861,7.637590302324389,2.2132480591542033e-14,2.2132480591542033e-14
input_condition_stance-based,Not eligible to vote,Labour,0.31129946948291887,0.2549341090215983,0.38012708488583075,-11.45089795718354,2.3272214936850194e-30,2.3272214936850194e-30
input_condition_stance-based,Other,Labour,0.6512440836463259,0.5940489105305607,0.7139460218949834,-9.144480363394017,5.991722334311101e-20,5.991722334311101e-20
input_condition_stance-based,Scottish National Party,Labour,0.8000962364665759,0.6663115794837647,0.960742702541577,-2.3889958106416884,0.016894495008650427,0.016894495008650427
