term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Conservative,Labour,1.3229783870613716,1.2554452789697914,1.3941442466275933,10.469953511287121,1.1870128514619201e-25,1.1870128514619201e-25
model_anthropic/claude-sonnet-4,Did not vote,Labour,0.3756066117590116,0.34445361905846655,0.40957713605307877,-22.16670155796582,7.199695015743408e-109,7.199695015743408e-109
model_anthropic/claude-sonnet-4,Greens,Labour,1.1696333211940997,1.084051457592308,1.261971557222919,4.041761940707944,5.305107621569246e-5,5.305107621569246e-5
model_anthropic/claude-sonnet-4,Liberal Democrats,Labour,1.2526100553275727,1.1757142099670015,1.3345351594855543,6.968026111424989,3.2141858201733632e-12,3.2141858201733632e-12
model_anthropic/claude-sonnet-4,Not eligible to vote,Labour,0.34572642548380766,0.28522482385099873,0.419061565764176,-10.821490066383038,2.723136221252055e-27,2.723136221252055e-27
model_anthropic/claude-sonnet-4,Other,Labour,0.7342833854150647,0.6718606621335673,0.8025058177753825,-6.81380417166982,9.505107308345521e-12,9.505107308345521e-12
model_anthropic/claude-sonnet-4,Scottish National Party,Labour,1.1092632361627295,0.9418092330789637,1.306490618147344,1.24195543953844,0.21425300342776069,0.21425300342776069
model_deepseek/deepseek-chat-v3-0324,Conservative,Labour,1.244262481478985,1.1795518729288492,1.312523135563389,8.020169911418218,1.0559899168938839e-15,1.0559899168938839e-15
model_deepseek/deepseek-chat-v3-0324,Did not vote,Labour,0.3705205087104849,0.3393809964842018,0.40451719099559896,-22.16744777726337,7.081343428876119e-109,7.081343428876119e-109
model_deepseek/deepseek-chat-v3-0324,Greens,Labour,1.2035508144608502,1.1155488410607322,1.2984949736598002,4.7826007342156736,1.7304162043170043e-6,1.7304162043170043e-6
model_deepseek/deepseek-chat-v3-0324,Liberal Democrats,Labour,1.298221903406306,1.2186349846131848,1.3830065046252225,8.085952980957481,6.167998061578032e-16,6.167998061578032e-16
model_deepseek/deepseek-chat-v3-0324,Not eligible to vote,Labour,0.2675172074510465,0.21526415006000915,0.33245413257365886,-11.892249028799043,1.2986188534271503e-32,1.2986188534271503e-32
model_deepseek/deepseek-chat-v3-0324,Other,Labour,0.7274204005448016,0.6649159229214511,0.7958005228749334,-6.94282905219332,3.843243910148078e-12,3.843243910148078e-12
model_deepseek/deepseek-chat-v3-0324,Scottish National Party,Labour,0.9568884723524783,0.8042618091176879,1.138479457983407,-0.49708296818076353,0.6191305446606937,0.6191305446606937
model_openai/chatgpt-4o-latest,Conservative,Labour,1.1525826012825777,1.0935609822566121,1.214789732199483,5.294886142027542,1.1909058799945952e-7,1.1909058799945952e-7
model_openai/chatgpt-4o-latest,Did not vote,Labour,0.3479518707650196,0.3190972974021742,0.379415637031503,-23.90204338865717,2.9165008513360917e-126,2.9165008513360917e-126
model_openai/chatgpt-4o-latest,Greens,Labour,1.1843400821142294,1.0999201347001435,1.2752393431589728,4.484277223177196,7.316149591327812e-6,7.316149591327812e-6
model_openai/chatgpt-4o-latest,Liberal Democrats,Labour,1.2138532658475212,1.1404798883614793,1.2919471584243147,6.092116232381185,1.1142772938170848e-9,1.1142772938170848e-9
model_openai/chatgpt-4o-latest,Not eligible to vote,Labour,0.24805079763790325,0.1998474949761731,0.3078807578555632,-12.645738512137832,1.1810950221735026e-36,1.1810950221735026e-36
model_openai/chatgpt-4o-latest,Other,Labour,0.7014677699560373,0.6424447239968131,0.7659134146606161,-7.906979588495771,2.6370884298823993e-15,2.6370884298823993e-15
model_openai/chatgpt-4o-latest,Scottish National Party,Labour,1.0581523474277361,0.8995475854243734,1.2447216895575361,0.6822419628280703,0.49508596458266846,0.49508596458266846
