term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Asian,White,0.8605251577741398,0.7908410115699734,0.9363494511901507,-3.4864493804228354,4.89478007867316e-4,4.89478007867316e-4
input_condition_bullets-based,Black,White,1.0097540309907231,0.9370125347984817,1.0881425437081211,0.25446620641538215,0.7991354083589068,0.7991354083589068
input_condition_bullets-based,Mixed,White,0.9796992100676253,0.9060469592150306,1.0593386274798353,-0.5143529691542345,0.6070052345206871,0.6070052345206871
input_condition_bullets-based,Other,White,0.7946173622388695,0.7101275371874454,0.8891596499303052,-4.008263485964746,6.11668548825296e-5,6.11668548825296e-5
input_condition_improve,Asian,White,0.8238189537668827,0.7354936643594739,0.9227512097967663,-3.3494454283292967,8.097350490531687e-4,8.097350490531687e-4
input_condition_improve,Black,White,0.900461613620728,0.8131720958572424,0.99712117734398,-2.015417473773331,0.04386092507022303,0.04386092507022303
input_condition_improve,Mixed,White,0.8584749479262682,0.7714144231865853,0.9553609759753644,-2.7970329997540233,0.005157426531729714,0.005157426531729714
input_condition_improve,Other,White,0.7591237642611071,0.652456407587961,0.8832297188962208,-3.5672666206167687,3.6072440377938556e-4,3.6072440377938556e-4
input_condition_rewrite,Asian,White,0.8573057061088437,0.7642249165855276,0.9617235159127779,-2.6255686102936675,0.008650437319289982,0.008650437319289982
input_condition_rewrite,Black,White,0.9343440060311282,0.8423741366206238,1.0363550869552223,-1.2845417428826729,0.19895246768111344,0.19895246768111344
input_condition_rewrite,Mixed,White,0.9640308010512512,0.8667449749739805,1.0722362542723896,-0.6749372655435236,0.49971562314378176,0.49971562314378176
input_condition_rewrite,Other,White,0.8618480940125103,0.7415677770337205,1.0016375578293513,-1.9386645226238752,0.05254220127790268,0.05254220127790268
input_condition_stance-based,Asian,White,0.9674861038112001,0.8899992233464669,1.0517193009991992,-0.7760649203619973,0.43771065495018663,0.43771065495018663
input_condition_stance-based,Black,White,1.025570510472119,0.9499776231512101,1.1071785759132833,0.6463470404628456,0.5180546298529214,0.5180546298529214
input_condition_stance-based,Mixed,White,0.978182465129644,0.9026279780151986,1.0600612416104345,-0.5378535054833469,0.5906781894369253,0.5906781894369253
input_condition_stance-based,Other,White,0.8697023653130153,0.7771657761256047,0.9732572219042336,-2.432273021641725,0.015004392467827286,0.015004392467827286
