term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Female,all_other_levels,1.0953450544429135,1.0552112367644257,1.1370053184530278,4.781769294868685,1.737590295946588e-6,1.737590295946588e-6
input_condition_improve,Female,all_other_levels,1.044917000484367,0.9946455175725316,1.097729310202845,1.7465794473223275,0.08071031488485758,0.08071031488485758
input_condition_rewrite,Female,all_other_levels,0.956853129019278,0.9101082089274981,1.0059989587314226,-1.725947835355638,0.08435679781467861,0.08435679781467861
input_condition_stance-based,Female,all_other_levels,1.1342673509338013,1.0926987560743147,1.1774173039388758,6.613774885489929,3.746413277330084e-11,3.746413277330084e-11
input_condition_bullets-based,Male,all_other_levels,0.9140440279314546,0.8806805596816096,0.9486714289449123,-4.7374975476043595,2.163734745839854e-6,2.163734745839854e-6
input_condition_improve,Male,all_other_levels,0.9514535284543363,0.9059287342076718,0.9992660378522524,-1.9893511740227188,0.04666245490241743,0.04666245490241743
input_condition_rewrite,Male,all_other_levels,1.0321111103884417,0.9820768232337591,1.0846945157300638,1.2466456188414514,0.21252746685450927,0.21252746685450927
input_condition_stance-based,Male,all_other_levels,0.865916395598371,0.8343458600728987,0.8986815181183516,-7.597537001771117,3.018199361056684e-14,3.018199361056684e-14
input_condition_bullets-based,Other,all_other_levels,1.1414297846192192,1.140990797323441,1.14186894081193,674.0148640530067,0,0
input_condition_improve,Other,all_other_levels,1.2659194393996644,1.2654325747443664,1.266406491372088,1201.4667318352524,0,0
input_condition_rewrite,Other,all_other_levels,1.5425524018367736,1.5419779791503103,1.5431270385090567,2280.924824819913,0,0
input_condition_stance-based,Other,all_other_levels,1.8238789838611718,1.8231997935206121,1.82455842721817,3162.4909112236287,0,0
