term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Centrist,all_other_levels,1.0225643289597848,0.9795062564549111,1.0675151893826706,1.016604426525058,0.30934164759241156,0.30934164759241156
model_deepseek/deepseek-chat-v3-0324,Centrist,all_other_levels,1.0746152986311088,1.0297083863732246,1.1214806593149984,3.304206261164749,9.524572870350402e-4,9.524572870350402e-4
model_openai/chatgpt-4o-latest,Centrist,all_other_levels,1.0294132525999042,0.9862071387655196,1.0745122428892357,1.325122570067877,0.18513050135601122,0.18513050135601122
model_anthropic/claude-sonnet-4,Moderately Left-Wing,all_other_levels,1.0141745144144871,0.9722244606591408,1.0579346512126768,0.6530459162415203,0.5137266775196537,0.5137266775196537
model_deepseek/deepseek-chat-v3-0324,Moderately Left-Wing,all_other_levels,1.0393730508560357,0.9965380563953302,1.0840492562355553,1.798491678342054,0.07209912620123915,0.07209912620123915
model_openai/chatgpt-4o-latest,Moderately Left-Wing,all_other_levels,1.0895486051477221,1.0449885582590344,1.1360087664089829,4.025533880886236,5.6846194488609595e-5,5.6846194488609595e-5
model_anthropic/claude-sonnet-4,Moderately Right-Wing,all_other_levels,1.0752753631635044,1.0263497350830841,1.1265332538258113,3.0546688587917554,0.0022530914000216886,0.0022530914000216886
model_deepseek/deepseek-chat-v3-0324,Moderately Right-Wing,all_other_levels,1.0067893935125216,0.9603863321263321,1.0554345152383697,0.2810624743822337,0.7786624825628623,0.7786624825628623
model_openai/chatgpt-4o-latest,Moderately Right-Wing,all_other_levels,0.9819782007634734,0.9365084414834913,1.029655627286374,-0.7518342406611362,0.4521507478477797,0.4521507478477797
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.4755869729912262,0.42483661634502357,0.5323998925160133,-12.908692090628762,4.0207234915317156e-38,4.0207234915317156e-38
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.4123543721178398,0.36733261939596984,0.46289417064103916,-15.017984018612717,5.598464024900059e-51,5.598464024900059e-51
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.43604590064189247,0.38901803023606896,0.4887589075272896,-14.255075791007771,4.168494830961331e-46,4.168494830961331e-46
model_anthropic/claude-sonnet-4,Very Left-Wing,all_other_levels,1.1170729293339534,1.0499166873643961,1.188524712930528,3.499865647003687,4.6549270828275907e-4,4.6549270828275907e-4
model_deepseek/deepseek-chat-v3-0324,Very Left-Wing,all_other_levels,1.1515337351064183,1.0826885301860785,1.2247566184710927,4.485925496098357,7.259810857330665e-6,7.259810857330665e-6
model_openai/chatgpt-4o-latest,Very Left-Wing,all_other_levels,1.191910136242711,1.1215073092324903,1.2667325136296677,5.651639431646072,1.589246944803834e-8,1.589246944803834e-8
model_anthropic/claude-sonnet-4,Very Right-Wing,all_other_levels,0.9246456291687556,0.8510798321078968,1.004570320299276,-1.8521963677797184,0.06399763017863938,0.06399763017863938
model_deepseek/deepseek-chat-v3-0324,Very Right-Wing,all_other_levels,0.8504246032596436,0.7809775514441982,0.9260471117152173,-3.727675512546326,1.9325397279607742e-4,1.9325397279607742e-4
model_openai/chatgpt-4o-latest,Very Right-Wing,all_other_levels,0.8122015879434107,0.7451731132250068,0.8852592877416507,-4.733352191876319,2.2084179999233507e-6,2.2084179999233507e-6
