term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,Conservative,all_other_levels,1.4867504323686436,1.4248414825953566,1.551349308080253,18.276058052033658,1.2837594822847443e-74,1.2837594822847443e-74
model_deepseek/deepseek-chat-v3-0324,Conservative,all_other_levels,1.3712554965992803,1.313501128193949,1.4315493124388785,14.381047507183363,6.805662406879569e-47,6.805662406879569e-47
model_openai/chatgpt-4o-latest,Conservative,all_other_levels,1.2997359248391909,1.24461333546102,1.3572998345641574,11.85696387572535,1.9802623612803257e-32,1.9802623612803257e-32
model_anthropic/claude-sonnet-4,Did not vote,all_other_levels,0.2970900676955984,0.27387648989172386,0.32227121195495656,-29.23975209717813,6.061512648171733e-188,6.061512648171733e-188
model_deepseek/deepseek-chat-v3-0324,Did not vote,all_other_levels,0.31695075623287466,0.29275540000318107,0.3431457861255491,-28.360238761498525,6.2586919579513755e-177,6.2586919579513755e-177
model_openai/chatgpt-4o-latest,Did not vote,all_other_levels,0.3042153075014429,0.28067943219726216,0.32972474182987244,-28.966296606793033,1.7495785579518186e-184,1.7495785579518186e-184
model_anthropic/claude-sonnet-4,Greens,all_other_levels,1.1841807780910123,1.108090814409748,1.265495658807709,4.98911445184224,6.065670375863451e-7,6.065670375863451e-7
model_deepseek/deepseek-chat-v3-0324,Greens,all_other_levels,1.2412001590689279,1.1624193234572073,1.3253202211838884,6.458441695348118,1.0578660425550747e-10,1.0578660425550747e-10
model_openai/chatgpt-4o-latest,Greens,all_other_levels,1.3170589224960854,1.2348784767424188,1.4047084292071406,8.378054336661581,5.380980380492899e-17,5.380980380492899e-17
model_anthropic/claude-sonnet-4,Labour,all_other_levels,1.010847379374425,0.9700236541545542,1.0533891828428927,0.5129654038992794,0.6079755212096493,0.6079755212096493
model_deepseek/deepseek-chat-v3-0324,Labour,all_other_levels,1.0510625654773351,1.0088049958375274,1.0950902514421323,2.3787203560701826,0.01737284987084112,0.01737284987084112
model_openai/chatgpt-4o-latest,Labour,all_other_levels,1.0940453774824743,1.0503099009612935,1.139602023074597,4.318195783106036,1.5730985972381407e-5,1.5730985972381407e-5
model_anthropic/claude-sonnet-4,Liberal Democrats,all_other_levels,1.3678562457123686,1.2963727386005726,1.4432814369068756,11.438558517173018,2.6830626199756653e-30,2.6830626199756653e-30
model_deepseek/deepseek-chat-v3-0324,Liberal Democrats,all_other_levels,1.4007332512496875,1.3280091453258898,1.4774398565418294,12.388876426748446,3.0022015588746193e-35,3.0022015588746193e-35
model_openai/chatgpt-4o-latest,Liberal Democrats,all_other_levels,1.3782233277486906,1.3064588605990883,1.4539298545379697,11.75801244043416,6.422847533247049e-32,6.422847533247049e-32
model_anthropic/claude-sonnet-4,Not eligible to vote,all_other_levels,0.278821168062149,0.22902524784651498,0.3394439892131051,-12.723914519122149,4.35484646141759e-37,4.35484646141759e-37
model_deepseek/deepseek-chat-v3-0324,Not eligible to vote,all_other_levels,0.2185588935628895,0.1762334245843848,0.2710495473153675,-13.84727175124691,1.3213620273581883e-43,1.3213620273581883e-43
model_openai/chatgpt-4o-latest,Not eligible to vote,all_other_levels,0.22537171865885489,0.1820301353279705,0.27903298253188386,-13.67367544293916,1.4583873029422235e-42,1.4583873029422235e-42
model_anthropic/claude-sonnet-4,Other,all_other_levels,0.664669373185899,0.6069619659979936,0.7278633594856855,-8.814806235783273,1.1989223158320162e-18,1.1989223158320162e-18
model_deepseek/deepseek-chat-v3-0324,Other,all_other_levels,0.660447283606533,0.6031553159900075,0.7231812484439327,-8.9603193216524,3.237395089984395e-19,3.237395089984395e-19
model_openai/chatgpt-4o-latest,Other,all_other_levels,0.6579742777991122,0.6010708752523115,0.7202647276222328,-9.070295732646436,1.1869441896619973e-19,1.1869441896619973e-19
model_anthropic/claude-sonnet-4,Scottish National Party,all_other_levels,1.121218445616484,0.9547285203158231,1.316741645441562,1.3951065386755388,0.1629837147118895,0.1629837147118895
model_deepseek/deepseek-chat-v3-0324,Scottish National Party,all_other_levels,1.0624640569605774,0.9025376030236942,1.2507289098551766,0.7279702794251962,0.46663177984053106,0.46663177984053106
model_openai/chatgpt-4o-latest,Scottish National Party,all_other_levels,1.1032867968458788,0.9385078902425011,1.2969968273574302,1.1910137818691584,0.23364817453030806,0.23364817453030806
