term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Asian,all_other_levels,0.9008003359259722,0.834779527696308,0.9720425792467994,-2.6901635383612894,0.007141701123120865,0.007141701123120865
input_condition_improve,Asian,all_other_levels,0.8641809808090575,0.780173295921441,0.9572344650813375,-2.7976726946799855,0.005147224277769875,0.005147224277769875
input_condition_rewrite,Asian,all_other_levels,0.9079046670431685,0.8203641392033107,1.0047865881110665,-1.8676907742036122,0.06180518533544067,0.06180518533544067
input_condition_stance-based,Asian,all_other_levels,0.9523038576197702,0.8835328417258711,1.026427761831709,-1.277920036944465,0.20127762233388988,0.20127762233388988
input_condition_bullets-based,Black,all_other_levels,1.032152588539352,0.9642731646332549,1.1048103432741163,0.9117998613472774,0.3618740833798101,0.3618740833798101
input_condition_improve,Black,all_other_levels,0.9470225319993134,0.8638389137555367,1.0382163408399039,-1.1604466246840603,0.24586701319089652,0.24586701319089652
input_condition_rewrite,Black,all_other_levels,0.9450796022550505,0.8613254337850861,1.0369779174794755,-1.1930675355625209,0.23284292458280179,0.23284292458280179
input_condition_stance-based,Black,all_other_levels,1.0707457426474043,1.000937237841679,1.1454229116999697,1.987234722771831,0.046896391657416346,0.046896391657416346
input_condition_bullets-based,Mixed,all_other_levels,1.0104505835883255,0.9408162171480072,1.0852389268640386,0.2853748421400667,0.7753569795888834,0.7753569795888834
input_condition_improve,Mixed,all_other_levels,0.9169145607730065,0.8322242855179909,1.0102232371580804,-1.7542902002878462,0.07938079409612067,0.07938079409612067
input_condition_rewrite,Mixed,all_other_levels,0.9878068130175146,0.8977899757556157,1.086849180981976,-0.25165143299207665,0.8013104998413593,0.8013104998413593
input_condition_stance-based,Mixed,all_other_levels,0.993183787997513,0.9242933681423139,1.0672088221552727,-0.18648242529136494,0.8520664597079227,0.8520664597079227
input_condition_bullets-based,Other,all_other_levels,0.7030313451499752,0.6147720686606732,0.8039614963967877,-5.148072802655054,2.6317635368344935e-7,2.6317635368344935e-7
input_condition_improve,Other,all_other_levels,0.6880397528198738,0.5742786131792221,0.8243362900799753,-4.054960851365793,5.014269997076965e-5,5.014269997076965e-5
input_condition_rewrite,Other,all_other_levels,0.7458807682884528,0.6229669731166468,0.8930459310214535,-3.1912270962424714,0.0014166987773034624,0.0014166987773034624
input_condition_stance-based,Other,all_other_levels,0.797167844151938,0.6984055695672597,0.9098961970529491,-3.3592525542506357,7.815360724173059e-4,7.815360724173059e-4
input_condition_bullets-based,White,all_other_levels,1.069776947681672,1.0218715236561027,1.1199281820639668,2.8856068281408165,0.003906598546002804,0.003906598546002804
input_condition_improve,White,all_other_levels,1.1736624978719516,1.1038731023518853,1.2478641394343204,5.119603905749575,3.061780401299202e-7,3.061780401299202e-7
input_condition_rewrite,White,all_other_levels,1.1095699923474849,1.0435669246639758,1.1797475933940906,3.3228917310757793,8.90894853610911e-4,8.90894853610911e-4
input_condition_stance-based,White,all_other_levels,1.0221994446414921,0.9765813474888376,1.06994845571461,0.9426364299282035,0.34586689937571025,0.34586689937571025
